conversation_number,turns,res_semantic_sim,res_token_f1,res_entity_f1,ans_entity_f1,ans_token_f1,ans_semantic_sim,ans_faithfulness,ans_hallucination,ans_completeness,avg_latency
1,12,0.8074935028950373,0.6290204678362573,0.5775668747030976,0.3880821460910225,0.37181254771841377,0.6857731292645136,0.4573806710134163,0.642092744405249,0.4222222222222222,4.5226505398750305
2,9,0.8094351821475558,0.7637917637917638,0.7403776325344953,0.4612143990976366,0.4338361852094831,0.6940583752261268,0.574980743758855,0.4910968474476539,0.46728395061728395,4.712955633799235
3,10,0.8470648884773254,0.7199379361608463,0.7613852813852814,0.3503756588723985,0.34418946232913,0.6392574906349182,0.3145250751239856,0.7352744111362994,0.5,6.474674463272095
4,9,0.8872883253627353,0.7519140989729225,0.7836221694064831,0.46632303206811326,0.42857411567838194,0.7670668562253317,0.4995683170804883,0.5655775595843507,0.6186868686868687,5.732765754063924
5,5,0.8378201961517334,0.49340659340659343,0.5456349206349207,0.29778438916028854,0.32732022598657196,0.650335681438446,0.4212670414261893,0.723218233261248,0.42000000000000004,5.518951511383056
6,1,0.4885644316673279,0.5128205128205129,0.5925925925925926,0.5789473684210527,0.611353711790393,0.9461804628372192,0.7451388518015545,0.3888888888888889,0.8421052631578947,11.84238886833191
7,4,0.8865424692630768,0.8287037037037037,0.805921052631579,0.6278301783564941,0.6267458828434438,0.7972888350486755,0.6027832574393761,0.46565988835725675,0.6666666666666666,2.75626277923584
8,7,0.9643269947596959,0.8184353741496598,0.8995727956254272,0.510036758683652,0.5211507142287701,0.7599439195224217,0.5957096029682268,0.4898269123136248,0.5505050505050505,4.400473526545933
9,7,0.7056918229375567,0.541594822520923,0.5159245516388373,0.29237387451336244,0.3080302313958198,0.6432765807424273,0.30270014680961677,0.7601021616153917,0.2602040816326531,7.907867772238595
10,6,0.9319097300370535,0.7248677248677248,0.8308913308913309,0.3845252588406643,0.2602839812517232,0.6606921950976054,0.34880797038828026,0.6693119693119693,0.4222222222222222,4.480416814486186
11,5,0.7621365785598755,0.7224242424242424,0.7365079365079366,0.25012039434828043,0.16971596982122183,0.5242934226989746,0.2073288167068382,0.8203812636165578,0.41666666666666663,4.173313045501709
12,10,0.8865394711494445,0.7598811461343431,0.8085955874191167,0.41285030915320053,0.37442945029977903,0.8532045900821685,0.47147839102182704,0.6375715052474819,0.6233333333333333,5.133499813079834
13,1,0.6077742576599121,0.5517241379310346,0.6666666666666665,0.7627118644067797,0.558139534883721,0.9492706656455994,0.8223312170779118,0.26229508196721313,0.8571428571428571,12.272945880889893
14,7,0.8133509159088135,0.7174794128177587,0.6794261294261295,0.45631217521973827,0.4080160813936783,0.5917295430387769,0.4473256992825464,0.5715074043451372,0.3018563357546409,3.945317200251988
15,2,1.0,1.0,1.0,0.6508951406649616,0.6152402402402402,0.6879656612873077,0.6135285558700562,0.375,0.6666666666666666,1.8079907894134521
