Metric,Best Configuration,Best Value,Direction
Entity-F1,multiqa_mistral_v01,0.8702,higher is better
Token-F1,multiqa_mistral_v01,0.8491,higher is better
Cosine Similarity,multiqa_mistral_v01,0.9049,higher is better
Semantic Similarity,multiqa_mistral_v01,0.9049,higher is better
Answer Relevance,bge_qwen,0.6744,higher is better
Hallucination,multiqa_mistral_v01,0.0924,lower is better
Faithfulness,multiqa_mistral_v01,0.8998,higher is better
Completeness,multiqa_mistral_v01,0.8755,higher is better
Key Info,multiqa_mistral_v01,0.8899,higher is better
Exact Match,multiqa_mistral_v01,0.66,higher is better
Latency (s),minilm_mistral_v01,0.9891,lower is better
