model,conversation_number,turn_number,question,expected_resolved,actual_resolved,expected_answer,actual_answer,res_Semantic Similarity,res_Token-F1,res_Entity-F1,res_Token Overlap,ans_Entity-F1,ans_Token-F1,ans_Cosine Similarity,ans_Semantic Similarity,ans_Answer Relevance,ans_Hallucination,ans_Faithfulness,ans_Completeness,ans_Key Info,ans_Exact Match,Latency (s)
reranking_minilm_qwen,1,1,What master programs are available for computer science background?,What master programs are available for computer science background?,What master programs are available for computer science background?,"1. Applied Research in Computer Science M.Sc.
2. Artificial Intelligence and Robotics M.Sc.
3. Computer Science M.Sc.","1. Applied Research in Computer Science M.Sc.
         2. Artificial Intelligence and Robotics M.Sc.
         3. Computer Science M.Sc.",1.0,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.000000238418579,0.41101041436195374,0.0,1.0000000953674317,1.0,1.0,0.0,1.7812297344207764
reranking_minilm_qwen,1,2,what are the addmission requirements for the 1st program,What are the admission requirements for the Applied Research in Computer Science M.Sc.?,What are the admission requirements for the Applied Research in Computer Science M.Sc.?,"Academic requirements: Bachelor’s degree or similar in computer science, media informatics, mobile computing or business information systems or a comparable study program from an accredited university, at least 210 ECTS (European Credit Transfer System) or equivalent (depending on home country); minimum grade 2,5 according to the German grading system (75%). Accredited universities are those that are listed in Anabin with status H+. Graduates from mechanical engineering, civil engineering, electronics & communications engineering or math / physics are not eligible. Above-average grades in object-oriented programming, software engineering, computer networks, and databases. Applicants with less than 210 credits (ECTS (European Credit Transfer System)) can be accepted but must gain the missing credits through an internship (at least 23 weeks) or attending appropriate modules at Hof University. For both alternatives, please calculate an additional (fourth) semester. See also the information about the application process for further requirements.

Language requirements:
- Prove your proficiency in English: TOEFL minimum 90 or IELTS 6.5 or above.
- Proof of basic language skills in German, demonstrated by official test score documents – minimum level A1.","Academic requirements: Bachelor’s degree or similar in computer science, media informatics, mobile computing or business information systems or a comparable study program from an accredited university, at least 210 ECTS (European Credit Transfer System) or equivalent (depending on home country); minimum grade 2,5 according to the German grading system (75%). Accredited universities are those that are listed in Anabin with status H+. Graduates from mechanical engineering, civil engineering, electronics & communications engineering or math / physics are not eligible. Above-average grades in object-oriented programming, software engineering, computer networks, and databases. Applicants with less than 210 credits (ECTS (European Credit Transfer System)) can be accepted but must gain the missing credits through either completing an internship (at least 23 weeks) where none was completed during their undergraduate studies or attending appropriate modules at Hof University (if they already completed an internship). Both options require calculating an additional (fourth) semester. Further requirements and detailed instructions can be found in the application process documentation.

Language requirements:
- Prove proficiency in English: TOEFL minimum 90 or IELTS 6.5 or above.
- Demonstrate basic language skills in German: Minimum level A1, proven by official test score documents.",1.0,1.0,1.0,1.0,0.8823529411764706,0.8453608247422681,0.9842891693115234,0.9842891693115234,0.4512954652309418,0.1588785046728972,0.898388564920871,1.0,0.925,0.0,7.655636310577393
reranking_minilm_qwen,1,3,What's the application deadline for it?,What is the application deadline for the Applied Research in Computer Science M.Sc.?,What is the application deadline for the Applied Research in Computer Science M.Sc.?,"The application deadlines for the Applied Research in Computer Science M. Sc. are as follows:
- Winter-semester: April 15 - May 31
- Summer-semester: November 5 - November 30",The application period for the Applied Research in Computer Science M. Sc. is from April 15 to May 31 for the winter semester and from November 5 to November 30 for the summer semester.,1.0,1.0,1.0,1.0,0.9268292682926829,0.68,0.8928330540657043,0.8928330540657043,0.8283029794692993,0.05,0.9271332216262818,1.0,0.9090909090909092,0.0,3.0255160331726074
reranking_minilm_qwen,1,4,is there any tuition fee for this program?,What is the tuition fee for the Applied Research in Computer Science M.Sc.?,What is the tuition fee for the Applied Research in Computer Science M.Sc.?,There are no tuition fees for the Applied Research in Computer Science M. Sc.,There are no tuition fees for the Applied Research in Computer Science M. Sc. program at Hof University.,1.0000001192092896,1.0,1.0,1.0,0.8181818181818181,0.8750000000000001,0.888788104057312,0.888788104057312,0.6428825855255127,0.3076923076923077,0.7708998570075402,1.0,1.0,0.0,2.5750486850738525
reranking_minilm_qwen,1,5,Do I need health insurance to admit this program?,Is health insurance mandatory?,Is health insurance mandatory?,"Yes, health insurance is mandatory. For enrollment at Hof University, you are legally required to have a valid health insurance.","Yes, health insurance is mandatory for enrollment at Hof University. You are legally required to have a valid health insurance upon enrolling.",1.0,1.0,1.0,1.0,0.8799999999999999,0.8205128205128205,0.9821621179580688,0.9821621179580688,0.6616414785385132,0.15384615384615385,0.9005571548755352,1.0,0.75,0.0,2.286390781402588
reranking_minilm_qwen,1,6,what are the addmission requirements for the 2nd program,What are the admission requirements for the Artificial Intelligence and Robotics M.Sc.?,What are the admission requirements for the Artificial Intelligence and Robotics M.Sc.?,"Academic requirements include a bachelor's degree in computer science or another engineering or natural science field providing adequate IT basics. The degree should have 210 credits and a minimum final grade of 2.5; otherwise, an additional module is offered. International applicants must submit their documents to Uni-Assist e. V. in advance and send them to uni-assist e. V. at least four weeks before the application deadline. Additionally, proof of English language proficiency through tests like TOEFL (minimum score 90) or IELTS (score of 6.5 or higher). Knowledge of German at least at level A1, demonstrated by official test scores, is also required.","Academic requirements include a bachelor's degree in computer science or another engineering or natural science field that provides a basic knowledge of information technology suitable for the AI and Robotics master’s program. The degree should have 210 credits with at least a final grade of 2.5; however, if it has fewer than 210 credits, students may qualify after completing an appropriate additional module.

Applicants from outside Germany must submit their documents to Uni-Assist e. V. in advance to facilitate the admission process. It is recommended to send these documents at least four weeks before the application deadline.

Language requirements involve proving proficiency in both English and German:
- Proficiency in English can be demonstrated through TOEFL (minimum score of 90) or IELTS (score of 6.5 or higher).
- Proof of language skills in German must meet the minimum level of A1, shown via official test scores.

For more detailed guidance on specific steps or further details about the application process, contact the university's admissions office.",1.0,1.0,1.0,1.0,0.6715328467153284,0.6442307692307692,0.8966220617294312,0.8966221809387207,0.5956144332885742,0.43902439024390244,0.6257108144062322,0.8181818181818182,0.8333333333333333,0.0,6.785815238952637
reranking_minilm_qwen,1,7,What's the application deadline for it?,What is the application deadline for the Artificial Intelligence and Robotics M.Sc.?,What is the application deadline for the Applied Research in Computer Science M.Sc.?,The application period for the Artificial Intelligence and Robotics M. Sc. is from November 5 to November 30.,"The application deadlines for the Applied Research in Computer Science M. Sc. are:
- Winter-semester: April 15 - May 31
- Summer-semester: November 5 - November 30",0.8125471472740173,0.6086956521739131,0.4444444444444445,0.4375,0.3870967741935483,0.3684210526315789,0.6993083953857422,0.699308454990387,0.7355928421020508,0.7,0.4597233819961548,0.3333333333333333,0.75,0.0,3.130133628845215
reranking_minilm_qwen,1,8,tuition fee for this program?,What is the tuition fee for the Artificial Intelligence and Robotics M.Sc.?,What is the tuition fee for the Applied Research in Computer Science M.Sc.?,Artificial Intelligence and Robotics M. Sc. has no tuition fees.,Applied Research in Computer Science M. Sc. has no tuition fees.,0.8195568323135376,0.6086956521739131,0.375,0.4375,0.28571428571428575,0.5714285714285713,0.7694279551506042,0.7694279551506042,0.5779086351394653,0.75,0.4577711820602417,0.6666666666666666,0.25,0.0,2.4949536323547363
reranking_minilm_qwen,1,9,What is the teaching language for this program?,What is the teaching language for the Artificial Intelligence and Robotics M.Sc.?,What is the teaching language for the Applied Research in Computer Science M.Sc.?,The teaching language for the Artificial Intelligence and Robotics M. Sc. is English.,The teaching language for the Applied Research in Computer Science M. Sc. is English.,0.7366241216659546,0.6086956521739131,0.4444444444444445,0.4375,0.5,0.64,0.7348184585571289,0.7348183393478394,0.6860240697860718,0.5454545454545454,0.5666546084664086,0.6666666666666666,0.5,0.0,2.6356799602508545
reranking_minilm_qwen,1,10,What is the teaching language for Applied Research in Computer Science M.Sc?,What is the teaching language for the Applied Research in Computer Science M.Sc.?,What is the teaching language for the Applied Research in Computer Science M.Sc.?,The teaching language for the Applied Research in Computer Science M. Sc. is English.,The teaching language for the Applied Research in Computer Science M. Sc. is English.,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9338914752006531,0.0,1.0,1.0,1.0,1.0,2.8226966857910156
