model,conversation_number,turn_number,question,expected_resolved,actual_resolved,expected_answer,actual_answer,res_Semantic Similarity,res_Token-F1,res_Entity-F1,res_Token Overlap,ans_Entity-F1,ans_Token-F1,ans_Cosine Similarity,ans_Semantic Similarity,ans_Answer Relevance,ans_Hallucination,ans_Faithfulness,ans_Completeness,ans_Key Info,ans_Exact Match,Latency (s)
reranking_multiqa_mistral_v02,1,1,What master programs are available for computer science background?,What master programs are available for computer science background?,What master programs are available for computer science background?,"1. Applied Research in Computer Science M.Sc.
2. Artificial Intelligence and Robotics M.Sc.
3. Computer Science M.Sc.","Here are the master's degree programs we offer in the field of computer science:

1. Artificial Intelligence and Robotics M.Sc.
2. Applied Research in Computer Science M.Sc.
3. Computer Science M.Sc.",1.0,1.0,1.0,1.0,0.8235294117647058,0.7027027027027027,0.7828854322433472,0.7828854322433472,0.6784089207649231,0.3,0.659838755607605,1.0,1.0,0.0,1.9406077861785889
reranking_multiqa_mistral_v02,1,2,what are the addmission requirements for the 1st program,What are the admission requirements for the Applied Research in Computer Science M.Sc.?,What are the admission requirements for the Artificial Intelligence and Robotics M.Sc. program?,"Academic requirements: Bachelor’s degree or similar in computer science, media informatics, mobile computing or business information systems or a comparable study program from an accredited university, at least 210 ECTS (European Credit Transfer System) or equivalent (depending on home country); minimum grade 2,5 according to the German grading system (75%). Accredited universities are those that are listed in Anabin with status H+. Graduates from mechanical engineering, civil engineering, electronics & communications engineering or math / physics are not eligible. Above-average grades in object-oriented programming, software engineering, computer networks, and databases. Applicants with less than 210 credits (ECTS (European Credit Transfer System)) can be accepted but must gain the missing credits through an internship (at least 23 weeks) or attending appropriate modules at Hof University. For both alternatives, please calculate an additional (fourth) semester. See also the information about the application process for further requirements.

Language requirements:
- Prove your proficiency in English: TOEFL minimum 90 or IELTS 6.5 or above.
- Proof of basic language skills in German, demonstrated by official test score documents – minimum level A1.","The admission requirements for the Artificial Intelligence and Robotics M. Sc. program at Hof University include having a Bachelor's degree in computer science or a related field with a foundational understanding of information technology. Alternatively, a Bachelor's degree with 210 credits and a final grade of at least 2.5 is acceptable, but may require completion of an additional module. Students who earned their degrees outside of Germany must have their documents evaluated by Uni-Assist e. V., and it's recommended they send these documents at least four weeks prior to the application deadline. Proof of English language proficiency (minimum TOEFL 90 or IELTS 6.5) and basic German language skills (minimum level A1) are also required.",0.7849260568618774,0.5,0.4210526315789474,0.3333333333333333,0.3850931677018633,0.33043478260869563,0.760857880115509,0.760857880115509,0.5564641952514648,0.515625,0.5949681520462036,0.2,0.525,0.0,6.055743217468262
reranking_multiqa_mistral_v02,1,3,What's the application deadline for it?,What is the application deadline for the Applied Research in Computer Science M.Sc.?,What is the application deadline for the Artificial Intelligence and Robotics M.Sc. program?,"The application deadlines for the Applied Research in Computer Science M. Sc. are as follows:
- Winter-semester: April 15 - May 31
- Summer-semester: November 5 - November 30",The application deadline for the Artificial Intelligence and Robotics M. Sc. program at Hof University is from November 5 to November 30.,0.8255448341369629,0.5,0.4210526315789474,0.3333333333333333,0.3333333333333333,0.31818181818181823,0.7198771238327026,0.7198771238327026,0.6893818378448486,0.6,0.5279508495330811,0.3333333333333333,0.38636363636363635,0.0,2.7175939083099365
reranking_multiqa_mistral_v02,1,4,is there any tuition fee for this program?,What is the tuition fee for the Applied Research in Computer Science M.Sc.?,What is the tuition fee for the Artificial Intelligence and Robotics M.Sc. program at Hof University?,There are no tuition fees for the Applied Research in Computer Science M. Sc.,"The Artificial Intelligence and Robotics M. Sc. program at Hof University does not have tuition fees. To learn more about applying to this program, please visit: <https://www.hof-university.com/studying-at-hof-university/our-degree-programs/artificial-intelligence-and-robotics-msc.html>",0.7821730375289917,0.4444444444444445,0.3,0.2857142857142857,0.13333333333333333,0.2,0.6054346561431885,0.6054345965385437,0.6160495281219482,0.9047619047619048,0.2693850261824472,0.5,0.16666666666666666,0.0,3.3604843616485596
reranking_multiqa_mistral_v02,1,5,Do I need health insurance to admit this program?,Is health insurance mandatory?,Is health insurance mandatory for the Artificial Intelligence and Robotics M.Sc. program?,"Yes, health insurance is mandatory. For enrollment at Hof University, you are legally required to have a valid health insurance.","Information about specific requirements for health insurance in the Artificial Intelligence and Robotics M. Sc. program at Hof University is not explicitly stated on the given context. To get accurate details, it would be best to contact Hof University's Admissions Office directly.",0.6724504232406616,0.375,0.5714285714285715,0.23076923076923078,0.2631578947368421,0.2413793103448276,0.6143288612365723,0.6143289804458618,0.4627186059951782,0.8076923076923077,0.25278134529407204,0.0,0.5,0.0,3.3410000801086426
reranking_multiqa_mistral_v02,1,6,what are the addmission requirements for the 2nd program,What are the admission requirements for the Artificial Intelligence and Robotics M.Sc.?,What are the admission requirements for the Applied Research in Computer Science M.Sc. program?,"Academic requirements include a bachelor's degree in computer science or another engineering or natural science field providing adequate IT basics. The degree should have 210 credits and a minimum final grade of 2.5; otherwise, an additional module is offered. International applicants must submit their documents to Uni-Assist e. V. in advance and send them to uni-assist e. V. at least four weeks before the application deadline. Additionally, proof of English language proficiency through tests like TOEFL (minimum score 90) or IELTS (score of 6.5 or higher). Knowledge of German at least at level A1, demonstrated by official test scores, is also required.","The admission requirements for the Applied Research in Computer Science M. Sc. program include having a Bachelor’s degree or a comparable study program from an accredited university with at least 210 ECTS (European Credit Transfer System) or equivalent, achieving a minimum grade of 2,5 (75%) according to the German grading system, and demonstrating above-average skills in object-oriented programming, software engineering, computer networks, and databases. Students whose degrees do not meet these criteria may still be considered if they complete an internship of at least 23 weeks or attend appropriate modules at Hof University to make up the required credits. Additionally, applicants must provide proof of their English language proficiency through tests such as TOEFL (minimum 90) or IELTS (6.5), as well as basic German language skills demonstrated by official test score documents at a minimum level A1.",0.7572906017303467,0.4999999999999999,0.4210526315789474,0.3333333333333333,0.46715328467153283,0.42931937172774876,0.7295787334442139,0.7295787334442139,0.5297499895095825,0.6097560975609756,0.5259778348411002,0.18181818181818182,0.7222222222222222,0.0,6.702862739562988
reranking_multiqa_mistral_v02,1,7,What's the application deadline for it?,What is the application deadline for the Artificial Intelligence and Robotics M.Sc.?,What is the application deadline for the Applied Research in Computer Science M.Sc. program?,The application period for the Artificial Intelligence and Robotics M. Sc. is from November 5 to November 30.,"The application deadlines for the Applied Research in Computer Science Master of Science (M. Sc.) program at Hof University are as follows:

Winter-semester: April 15 - May 31
Summer-semester: November 5 - November 30

Please note that it's essential to check the Hof University website or contact their admissions office for updated information and specific requirements before submitting an application.",0.80134117603302,0.4999999999999999,0.4210526315789474,0.3333333333333333,0.24489795918367344,0.2058823529411765,0.5035488605499268,0.5035488605499268,0.5872952938079834,0.8421052631578947,0.14807819316261694,0.3333333333333333,0.75,0.0,4.267110109329224
reranking_multiqa_mistral_v02,1,8,tuition fee for this program?,What is the tuition fee for the Artificial Intelligence and Robotics M.Sc.?,"):
What is the tuition fee for the Artificial Intelligence and Robotics M.Sc. program?",Artificial Intelligence and Robotics M. Sc. has no tuition fees.,The Artificial Intelligence and Robotics M. Sc. program at Hof University does not have tuition fees.,0.9701330661773682,0.8333333333333333,0.9333333333333333,0.7142857142857143,0.5882352941176471,0.6153846153846154,0.8522634506225586,0.8522634506225586,0.7137959003448486,0.5454545454545454,0.5522693876786666,1.0,1.0,0.0,2.0141472816467285
reranking_multiqa_mistral_v02,1,9,What is the teaching language for this program?,What is the teaching language for the Artificial Intelligence and Robotics M.Sc.?,What is the teaching language for this program?,The teaching language for the Artificial Intelligence and Robotics M. Sc. is English.,"To provide an accurate response, I need to know which specific program at Hof University you are inquiring about. Here's some information based on my previous answers:

* International Project Management M. Eng./M. A.: taught in German
* Computer Science (B. Sc.): taught in German
* Digital Business Management (M. Sc.): taught mostly in German but may include some courses in English
* Computer Science M. Sc.: taught in German
* Computer Science (International) B. Sc.: taught in English/German

If the program you are interested in isn't listed above, please let me know its name so I can give you more precise information. Alternatively, feel free to reach out to Hof University's admissions office for further details.",0.6210334300994873,0.631578947368421,0.5,0.46153846153846156,0.07272727272727274,0.06451612903225806,0.2809273302555084,0.28092730045318604,0.28973519802093506,0.9565217391304348,0.06922893835150677,0.3333333333333333,0.3333333333333333,0.0,7.967185735702515
reranking_multiqa_mistral_v02,1,10,What is the teaching language for Applied Research in Computer Science M.Sc?,What is the teaching language for the Applied Research in Computer Science M.Sc.?,What is the teaching language for Applied Research in Computer Science M.Sc?,The teaching language for the Applied Research in Computer Science M. Sc. is English.,The Applied Research in Computer Science Master's program at Hof University is taught in English.,0.9953539967536926,0.9166666666666666,1.0,0.8461538461538461,0.4799999999999999,0.5925925925925927,0.7215964794158936,0.7215965390205383,0.6657607555389404,0.5714285714285714,0.5457814727510726,0.3333333333333333,0.8571428571428571,0.0,4.008486986160278
