model,test_id,question,expected_answer,actual_answer,Entity-F1,Token-F1,Cosine Similarity,Semantic Similarity,Answer Relevance,Hallucination,Faithfulness,Completeness,Key Info,Exact Match,Latency (s)
baseline_bge_phi2,1,"I have a computer science background, which master's courses can I apply for?","Based on your Computer Science background, here are Master programs:

  - Computer Science M.Sc.
  - Software Engineering for Industrial Applications M.Eng.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","You can apply for the following courses: Computer Science M.Sc., Artificial Intelligence and Robotics M.Sc., Software Engineering for Industrial Applications M.Eng., and Computer Science B.Sc.",0.6122448979591837,0.4,0.8057394027709961,0.8057394027709961,0.6418351531028748,0.21052631578947367,0.7959799716347142,0.5,0.6111111111111112,0.0,5.410320997238159
baseline_bge_phi2,2,What programs are available for business students?,"Based on your Business background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Global Management M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Applied Psychology M.Sc.
  - Marketing Management M.Sc.
  - AI-Driven Supply Chain Management (M.Sc.)

Please verify specific admission requirements before applying.","The programs available for business students are:
- Program: Business Administration A.A.
- Program: Business Administration A.B.
- Program: Business Administration A.C.
- Program: Business Administration A.D.
- Program: Business Administration A.E.
- Program: Business Administration A.F.
- Program: Business Administration A.G.
- Program: Business Administration A.H.
- Program: Business Administration A.I.
- Program: Business Administration A.J.
- Program: Business Administration A.K.
- Program: Business Administration A.L.
- Program: Business Administration",0.14035087719298245,0.08450704225352113,0.6389354467391968,0.638935387134552,0.7445642352104187,0.5,0.5555741548538208,0.3333333333333333,0.06896551724137931,0.0,5.344828844070435
baseline_bge_phi2,3,"I studied engineering, what bachelor programs can I apply to?","Based on your Engineering background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.",Answer the question based only on the provided context. Be concise and direct.,0.043478260869565216,0.11538461538461538,0.01568339392542839,0.015683390200138092,-0.01386425644159317,0.875,0.08127335608005523,0.0,0.0,0.0,6.275310277938843
baseline_bge_phi2,4,"I studied engineering, what Masters programs I can apply?","Based on your Engineering background, here are Master programs:

  - Sustainable Textiles M.Eng.
  - Mechanical Engineering M.Eng.
  - Artificial Intelligence and Robotics M.Sc.
  - Sustainable Water Management and Engineering M.Eng.
  - Digitalization and Innovation M.B.A.
  - Supply Chain Management M.Sc.
  - Artificial Intelligence Aided Mobility Design M.A.
  - Textile Design M.A.
  - International Project Management M.Eng./M.A.
  - Software Engineering for Industrial Applications M.Eng.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - Composite Materials M.Eng.

Please verify specific admission requirements before applying.","""""""
def __init__(self):
super().__init__()
# Define the required fields for the search
self._fields = {
""search_type"": ""field"",
""title"": ""Field"",
""value"": None,
""formatted_label"": ""Search field: "",
""default_filter"": ""text"",
}
self._filters = {}
self._results = []",0.0,0.025641025641025637,0.005349309183657169,0.005349323153495789,0.037131231278181076,1.0,0.0021397292613983157,0.0,0.0,0.0,5.557541847229004
baseline_bge_phi2,5,Programs available for economics background?,"Based on your Economics background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","'Economic Psychology B.Sc.' is an option if you have a background in economics. It can be studied for 7 semesters during winter season at Hof Campus. There are no tuition fees associated with this program. The module 'Digitalization and Innovation M.B.A.' may also be of interest to students with a background in economics as it offers insights into applied economics and intercultural management. However, additional information is required to confirm its suitability.",0.273972602739726,0.12000000000000001,0.7168347835540771,0.7168347835540771,0.615492045879364,0.7368421052631579,0.4446286502637361,0.6111111111111112,0.23809523809523808,0.0,5.492713451385498
baseline_bge_phi2,6,"I have a law background, what can I study?","Based on your Law background, here are programs:

Bachelor Programs:
  - Business Law LL.B.

Master's Programs:
  - Human Resource Management and Labour Law LL.M./M.A.

Please verify specific admission requirements before applying.","You can study Business Law LL.B. at the Faculty of Business Administration.
""""""",0.20689655172413796,0.15789473684210525,0.7366924285888672,0.7366923689842224,0.6548665165901184,0.625,0.5196769475936889,0.2857142857142857,0.18181818181818182,0.0,5.406096935272217
baseline_bge_phi2,7,"I studied Management, what Masters programs I can apply?","Based on your Management background, here are Master programs:

  - International Project Management M.Eng./M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Marketing Management M.Sc.
  - Global Management M.A.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - General Management M.B.A.
  - Sustainable Water Management and Engineering M.Eng.
  - AI-Driven Supply Chain Management (M.Sc.)
  - Supply Chain Management M.Sc.

Please verify specific admission requirements before applying.","You can study one of these Masters Programs:
* General Management M.B.A.
* Global Management M.A.
* Market Research M.A.
* Artificial Intelligence in Supply Chain Management M.Sc.
* Financial Risk Management M.Sc.
""""""
return text",0.29411764705882354,0.25,0.7247257232666016,0.724725604057312,0.634759783744812,0.5833333333333334,0.5398902416229248,0.5806451612903226,0.24,0.0,2.568018674850464
baseline_bge_phi2,8,What programs can psychology students apply for?,"Based on your Psychology background, here are programs:

Bachelor Programs:
  - Economic Psychology B.Sc.

Master's Programs:
  - Applied Psychology M.Sc.

Please verify specific admission requirements before applying.",Answer the question based only on the provided context. Be concise and direct.,0.07692307692307691,0.11764705882352942,-0.07557801902294159,-0.07557801902294159,0.031881578266620636,0.875,0.04476879239082336,0.0,0.0,0.0,6.168824911117554
baseline_bge_phi2,9,"I have a design background, what master programs are available?","Based on your Design background, here are Master programs:

  - Textile Design M.A.
  - Artificial Intelligence Aided Mobility Design M.A.

Please verify specific admission requirements before applying.",The master programs available to students with a design background are the “Artificial Intelligence Aided Mobility Design” program and the “Digitalization and Innovation” program. Both programs offer a Master of Arts degree and are offered in partnership with the Department of Engineering.,0.4390243902439025,0.2222222222222222,0.7313247323036194,0.7313247919082642,0.6306726336479187,0.6086956521739131,0.4745812729130621,0.0,0.6666666666666666,0.0,2.144359827041626
baseline_bge_phi2,10,Programs for textile technology students?,"Based on your Textile Technology background, here are programs:

Bachelor Programs:
  - Textile Design B.A.

Master's Programs:
  - Textile Design M.A.

Please verify specific admission requirements before applying.",Yes,0.0,0.0,-0.0819469466805458,-0.0819469541311264,0.05333849787712097,1.0,-0.032778781652450566,0.0,0.0,0.0,0.14712810516357422
baseline_bge_phi2,11,"I studied IT, which programs can I apply for?","Based on your It background, here are programs:

Bachelor Programs:
  - Mobile App Development B.Sc.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Computer Science (International) B.Sc.
  - Engineering Science (international) B.Eng.

Master's Programs:
  - Computer Science M.Sc.
  - Digital Business Management (M.Sc.)
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.",Answer the question based only on the provided context. Be concise and direct.,0.038461538461538464,0.10169491525423728,0.011823158711194992,0.011823163367807865,0.09617060422897339,0.875,0.07972926534712314,0.0,0.0,0.0,6.231430768966675
baseline_bge_phi2,12,"I studied informatics, what master programs can I apply to?","Based on your Informatics background, here are Master programs:

  - Computer Science M.Sc.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","We are happy to see you interested in our master programs! If you already studied informatics, then you may consider one of the following options:
* Artificial Intelligence and Robotics M.Sc.
- Admission Requirements: academic: Academic requirements Bachelor's degree in computer science or in an engineering or natural science course of study that has provided a basic knowledge of information technology sufficient for study in the Artificial Intelligence and Robotics master's program Bachelor's degree with 210 credits and at least a final grade of 2.5 (for less than 210 credits we offer an appropriate additional module) Applicants who have completed their first degree abroad must have their documents checked by Uni-Assist e.V. in advance. To ensure a smooth admission,",0.2926829268292683,0.21848739495798317,0.8314182758331299,0.8314181566238403,0.714701771736145,0.7931034482758621,0.22835259684200945,0.4,0.2857142857142857,0.0,5.533957481384277
baseline_bge_phi2,13,"I have a Science background, what bachelor programs can I apply to?","Based on your Science background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.",Answer the question based only on the provided context. Be concise and direct.,0.043478260869565216,0.11538461538461538,0.02486061304807663,0.024860616773366928,-0.021991897374391556,0.875,0.08494424670934678,0.0,0.0,0.0,6.309330940246582
baseline_bge_phi2,14,"I have a Business background,  what bachelor programs can I apply to?","Based on your Business background, here are Bachelor programs:

  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Please verify specific admission requirements before applying.",Answer the question based only on the provided context. Be concise and direct.,0.05555555555555556,0.13953488372093023,-0.004913883283734322,-0.004913882818073034,-0.011908184736967087,0.875,0.07303444687277079,0.0,0.0,0.0,5.4247894287109375
baseline_bge_phi2,15,"I completed my high school from Arts, what bachelor programs can I apply to?","Based on your Arts background, here are Bachelor programs:

  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Economic Psychology B.Sc.

Please verify specific admission requirements before applying.",Answer the question based only on the provided context. Be concise and direct.,0.058823529411764705,0.14285714285714288,0.005272621288895607,0.005272619426250458,-0.03677918761968613,0.875,0.07710904777050018,0.0,0.0,0.0,6.164074659347534
baseline_bge_phi2,16,What engineering bachelor programs does Hof University offer?,"Here are the programs in Engineering (Bachelor level):

  - Design and Mobility B.A.
  - Engineering Science (international) B.Eng.
  - Environmental Engineering (B.Eng.)
  - Innovative Textiles B.Eng.
  - Textile Design B.A.",Answer the question based only on the provided context. Be concise and direct.,0.0,0.12121212121212123,-0.012052740901708603,-0.012052744626998901,0.023406434804201126,1.0,-0.004821097850799561,0.0,0.0,0.0,6.1254072189331055
baseline_bge_phi2,17,Computer science bachelor programs?,"Here are the programs in Computer Science (Bachelor level):

  - Business Information Systems B.Sc.
  - Computer Science (B.Sc.)
  - Computer Science (International) B.Sc.
  - Media Informatics B.Sc.
  - Mobile App Development B.Sc.",Yes,0.0,0.0,-0.06003427505493164,-0.06003427505493164,0.07974616438150406,1.0,-0.024013710021972657,0.0,0.0,0.0,5.37051796913147
baseline_bge_phi2,18,What master programs are in engineering?,"Here are the programs in Engineering (Master level):

  - Artificial Intelligence Aided Mobility Design M.A.
  - Composite Materials M.Eng.
  - International Project Management M.Eng./M.A.
  - Mechanical Engineering M.Eng.
  - Sustainable Textiles M.Eng.
  - Sustainable Water Management and Engineering M.Eng.
  - Textile Design M.A.","1. ""Master: Sustainable Engineering and Project Management  M.B.A. and Eng.""
2. ""Master: International Project Management M.Eng./M.A.""
3. ""Master: Sustainable Water Management and Engineering M.Eng.""
4. ""Master: Software Engineering for Industrial Applications M.Eng.""
5. ""Master: Operational Excellence M.B.A. and Eng.""
""""""
if program_name is None:
program_name = """"",0.3703703703703704,0.2413793103448276,0.6258280873298645,0.6258280277252197,0.6662542819976807,0.6153846153846154,0.4811004418593186,0.6875,0.42105263157894735,0.0,5.381388425827026
baseline_bge_phi2,19,Computer science master programs?,"Here are the programs in Computer Science (Master level):

  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Computer Science M.Sc.","Computer Science M.Sc., Artificial Intelligence and Robotics M.Sc., Software Engineering for Industrial Applications M.Eng.
""""""
)
answer = answer_candidate(question)
assert (
answer == expected_answer
), f""{answer}!= {expected_answer}""",0.4848484848484848,0.28571428571428564,0.36963769793510437,0.36963769793510437,0.2684965133666992,0.5555555555555556,0.41452174584070844,0.8333333333333334,0.6,0.0,5.336071014404297
baseline_bge_phi2,20,English-taught master programs?,"Here are the programs English-taught (Master level):

  - AI-Driven Supply Chain Management (M.Sc.)
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence Aided Mobility Design M.A.
  - Artificial Intelligence and Robotics M.Sc.
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - General Management M.B.A.
  - Global Management M.A.
  - Operational Excellence M.B.A. and Eng.
  - Software Engineering for Industrial Applications M.Eng.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - Sustainable Textiles M.Eng.
  - Sustainable Water Management and Engineering M.Eng.
  - Textile Design M.A.","General Management M.B.A., Digitalization and Innovation M.B.A.",0.16666666666666669,0.21818181818181817,0.5990217924118042,0.599021852016449,0.2624894380569458,0.0,0.8396087408065795,0.4117647058823529,0.1111111111111111,0.0,2.6275477409362793
baseline_bge_phi2,21,German master programs in business?,"Here are the programs German-taught in Business (Master level):

  - Applied Psychology M.Sc.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Marketing Management M.Sc.
  - Supply Chain Management M.Sc.","Yes, there are several master programs offered in Germany for students interested in studying business management. These include programs such as ""Marketing Management,"" ""Supply Chain Management,"" ""Applied Psychology,"" and ""Digital Business Management."" Each of these programs offers a unique focus and prepares students for various roles within the business industry.",0.43636363636363634,0.2222222222222222,0.7710732221603394,0.7710731625556946,0.7745447158813477,0.625,0.48008633852005006,0.1,0.4666666666666667,0.0,2.455369234085083
baseline_bge_phi2,22,Which programs are taught in German?,I found several German-taught programs. Would you like to see Bachelor or Master programs?,"The program taught in German is ""Digitalization and Innovation M.B.A.""",0.28571428571428575,0.0,0.5877439975738525,0.5877439975738525,0.6288102269172668,0.6666666666666666,0.43509759902954104,0.0,0.25,0.0,5.455927610397339
baseline_bge_phi2,23,English business master programs with no tuition?,"Here are the programs English-taught tuition-free in Business (Master level):

  - AI-Driven Supply Chain Management (M.Sc.)
  - Digital Business Management (M.Sc.)
  - Global Management M.A.","The only program that meets these conditions is the ""Digital Business Management"" (M.Sc.). However, it's important to note that there may be other factors to consider when choosing a university or program, such as location, reputation, resources, career services, etc. Therefore, it's recommended to do your own research and consult with advisors before making a decision.",0.22222222222222224,0.057971014492753624,0.5753555297851562,0.5753556489944458,0.4686110317707062,0.8148148148148148,0.23887735949622263,0.5,0.36363636363636365,0.0,2.8542044162750244
baseline_bge_phi2,24,Programs starting in winter semester?,Application deadlines vary by program. Please specify which program.,"['Innovative Textiles B.Eng.', 'Sustainable Textiles M.Eng.', 'Engineering Science (international) B.Eng.', 'Environmental Engineering (B.Eng.)']
""""""",0.0,0.0,0.03821156173944473,0.03821156173944473,0.1957957148551941,1.0,0.013756162226200104,0.0,0.0,0.0,1.7204885482788086
baseline_bge_phi2,25,What programs start in summer semester?,Application deadlines vary by program. Please specify which program.,None.,0.0,0.0,0.10637082159519196,0.10637082159519196,0.08053846657276154,1.0,0.04254832863807678,0.0,0.0,0.0,4.175007343292236
baseline_bge_phi2,26,What is the application deadlines for bachelor programs?,Application deadlines vary by program. Please specify which program.,Answer the question based only on the provided context. Be concise and direct.,0.0,0.0,0.03128504008054733,0.03128504008054733,0.011626385152339935,1.0,0.012514016032218933,0.0,0.0,0.0,6.198895215988159
baseline_bge_phi2,27,deadlines for AI and robotics?,The application deadline for the Artificial Intelligence and Robotics M. Sc. program is November 5 - November 30.,There are no specific deadlines for applications related to AI and Robotics programs at Hof University. The general deadlines for submitting applications for all academic programs are available on the admissions page of the university's website. Please check the latest version of the admissions calendar for more detailed information.,0.1111111111111111,0.15384615384615383,0.6253539323806763,0.6253539323806763,0.6609753966331482,0.9166666666666666,0.21009910106658938,0.0,0.16666666666666666,0.0,2.2524890899658203
baseline_bge_phi2,28,What is the application deadline for Innovative Textiles program?,Application period for Innovative Textiles B. Eng.:  May 1 - July 15,"The application deadline for Innovative Textiles program is August 31st.
```python
#Solution
#Find all instances of ""innovative"" in the text using regular expressions
import re
text = """"""
Innovative Textiles B.Eng.
Program: Innovative Textiles B.Eng.
Admission Requirements:
academic: Academic requirements General higher education entrance qualification or subject-linked university entrance qualification, University of Applied Sciences entrance qualification or professional qualification If you are not sure about your university entrance qualification, please check the websites of www.uni-assist.de and www.anabin.de
language: Language requirements International applicants usus",0.1923076923076923,0.10666666666666667,0.6336997747421265,0.6336999535560608,0.6701937913894653,0.8809523809523809,0.1624542764254979,0.6666666666666666,0.25,0.0,5.4817070960998535
baseline_bge_phi2,29,application period for Innovative Textiles program?,Application period for Innovative Textiles B. Eng.:  May 1 - July 15,"The application period for Innovative Textiles program is from January 1st to March 31st each year.
""""""
_answer = answer.format(**kwargs)
return _answer",0.4347826086956522,0.30303030303030304,0.7752658724784851,0.7752659320831299,0.8236527442932129,0.6153846153846154,0.4867880432422344,0.3333333333333333,0.41666666666666663,0.0,1.6450622081756592
baseline_bge_phi2,30,When can I apply for Global Management?,Application period for Global Management M. A.: Winter semester: EU: May 1 - July 15 Non-EU: April 15 - May 31 Summer semester: EU: November 15 - January 15 Non-EU: November 5 - November 30 ,"You can apply for Global Management if you have a bachelor's degree in any of the following fields: Business Management, International Management, Industrial Engineering, or Business Informatics. Additionally, having a master's degree is required to enroll in this program.
""""""
```",0.13953488372093023,0.10344827586206898,0.568273663520813,0.5682736039161682,0.7868022322654724,0.875,0.3023094415664673,0.0,0.09090909090909091,0.0,2.1298704147338867
baseline_bge_phi2,31,How can I apply to the Business Law program?,You can apply here: https://www.hof-university.com/studying-at-hof-university/our-degree-programs/business-law-llb.html,"""""""
# Convert the text into lowercase so that we don't have to worry about capitalization
text = text.lower()",0.0,0.0,0.05145052447915077,0.051450520753860474,0.07111722230911255,1.0,0.010290104150772096,0.0,0.0,0.0,5.350429058074951
baseline_bge_phi2,32,Application link for Textile Design master?,You can apply here: https://www.hof-university.com/studying-at-hof-university/our-degree-programs/textile-design-ma.html,"```python
# Solution
text = ""Application link for Textile Design master?""
if ""Textile Design"" in text:
print(""Yes"")
else:
print(""No"")
```
5. Write a Python script that checks whether an email is valid or not using regular expressions. A valid email should have the following format:",0.12500000000000003,0.0,0.2956734001636505,0.2956734299659729,0.4427158832550049,0.9090909090909091,0.08640741326592186,0.0,0.0,0.0,5.322547435760498
baseline_bge_phi2,33,Where do I apply for Business Administration?,You can apply here: https://www.hof-university.com/studying-at-hof-university/our-degree-programs/business-administration-ba.html,"To apply, visit https://www.hof.de/en/admissions/. Please note that this link will redirect you to the admissions portal for this specific course.",0.1904761904761905,0.08695652173913045,0.6724175214767456,0.6724174618721008,0.33324578404426575,0.8181818181818182,0.1890289469198747,0.25,0.0,0.0,5.495081901550293
baseline_bge_phi2,34,Is there any tuition fee for Artificial Intelligence Aided Mobility Design?,none,"No
""""""",0.0,0.0,0.3102260231971741,0.3102260231971741,0.04886113107204437,1.0,0.11168136835098268,0.0,0.5,0.0,5.4965736865997314
baseline_bge_phi2,35,Tuition fee for Software Engineering for Industrial Applications?,"3,300 € per semester","3,300€ per semester",1.0,0.5714285714285715,0.9410290718078613,0.9410289525985718,0.47059813141822815,0.0,0.9764115810394287,1.0,1.0,0.0,5.338134050369263
baseline_bge_phi2,36,is there any tuition fees for bachelor programs?,There is no tuition fees for bachelor programs.,"Yes, because we don't provide the answer here due to the short length of the response. Please visit our page for more info.",0.0,0.06896551724137931,0.15887147188186646,0.15887147188186646,0.3285425901412964,1.0,0.04448401212692261,0.0,0.0,0.0,1.9568884372711182
baseline_bge_phi2,37,is there any tuition fees for masters programs?,"Tuition fees vary by program. Some master programs are free, others charge fees. Please specify which program.","Yes, there are tuition fees for all of these programs.",0.3333333333333333,0.23076923076923075,0.7559932470321655,0.755993127822876,0.773452639579773,0.3333333333333333,0.7023972511291504,0.3333333333333333,0.0,0.0,0.571789026260376
baseline_bge_phi2,38,Global Management offered in which semester?,Global Management M. A. offered in Winter and summer semester,"First Semester
'''",0.2,0.15384615384615383,0.3937603831291199,0.3937603533267975,0.4406476318836212,0.6666666666666666,0.357504141330719,0.0,0.0,0.0,5.428752422332764
baseline_bge_phi2,39,When does Economic and Organizational Sociology start?,Economic and Organizational Sociology B. A. start on Winter semester,"'''
)
```",0.0,0.0,0.09105588495731354,0.09105586260557175,0.06911766529083252,0.0,0.6364223450422287,0.0,0.0,0.0,0.49214601516723633
baseline_bge_phi2,40,Sustainable Engineering and Project Management start on which semester?,Sustainable Engineering and Project Management  M. B. A. and Eng. starts in Winter and summer semester,"The program starts in winter and summer semester.
""""""
if ""Winter"" or ""Summer"" in description:
return True
else:
return False
```",0.380952380952381,0.30303030303030304,0.36098212003707886,0.36098212003707886,0.3304116725921631,0.6,0.38439284801483153,0.2,0.16666666666666666,0.0,5.3634631633758545
baseline_bge_phi2,41,How many semester for Artificial Intelligence and Robotics?,3 semesters,"3 semesters
""""""
```",1.0,0.6666666666666666,0.8284516334533691,0.8284516334533691,0.43920159339904785,0.0,0.8382425880432129,1.0,1.0,0.0,5.3526451587677
baseline_bge_phi2,42,Number of semester for Digitalization and Innovation?,4 semesters,"5
'''
print(answers)",0.0,0.0,0.1264030486345291,0.1264030635356903,0.05820250138640404,1.0,0.05056122541427613,0.0,0.0,0.0,0.5874171257019043
baseline_bge_phi2,43,How much time needed to complete Business Information Systems?,7 semesters,1 year,0.0,0.0,0.45052802562713623,0.45052802562713623,0.35428428649902344,1.0,0.18021121025085451,0.0,0.0,0.0,0.4116668701171875
baseline_bge_phi2,44,Who should I contact for the AI and Robotics program?,"You can reach out to Prof. Dr. Michael Spangenberg (Head Of Program, michael.spangenberg@hof-university.de) or Sabine Figura-Ogrodnik (Program Manager, sabine.figura-ogrodnik@hof-university.de)","Professor N/A
""""""
def __init__(self):
super().__init__()",0.0,0.0,0.07037574052810669,0.07037573307752609,0.04632038623094559,1.0,0.02815029323101044,0.0,0.0,0.0,5.328012943267822
baseline_bge_phi2,45,Contact persons for Global Management program?,"You can reach out to Prof. Dr. Fridtjof Langenhan (Head Of Program, fridtjof.langenhan@hof-university.de), Doreen Rustler (Student Counseling, doreen.rustler@hof-university.de), Kathrin Schötz (Student Affairs Program Manager, kathrin.schoetz@hof-university.de)","Prof. Dr. Susanne Bär, Dr. Rüdiger Meyer, Prof. Dr. Martin Wörner, Dr. Jürgen Schmidt-Süßhoff, Prof. Dr. Markus Müller
""""""
)",0.13333333333333333,0.10526315789473685,0.3075876533985138,0.3075876533985138,0.17093394696712494,0.7142857142857143,0.29446363278797694,0.2222222222222222,0.13333333333333333,0.0,1.9560484886169434
baseline_bge_phi2,46,Contact information for Economic and Organizational Sociology,"You can reach out to Prof. Dr. Carsten Stark (Head Of Program, carsten.stark@hof-university.de), Doreen Rustler (Student Counseling, doreen.rustler@hof-university.de), Holger Edelmann (Student Affairs Program Manager, holger.edelmann@hof-university.de)","Professor: N/A, Title: N/A, Department: Business Department, Email: N/A, Office: Room number: B216, building: B, campus: Hof, Phone: N/A",0.0,0.0,0.36303210258483887,0.36303213238716125,0.36528950929641724,1.0,0.1452128529548645,0.0,0.0,0.0,5.316607713699341
baseline_bge_phi2,47,Who can I reach out for Sustainable Engineering and Project Management?,"You can reach out to Prof. Dr.-Ing. Christoph Koch (Head Of Program, christoph.koch@hof-university.de), Shuyi Yang (Program Management Graduate School, graduate.school@hof-university.de), Elisa Dähne (Student Affairs Progam Manager, elisa.daehne@hof-university.de)","Professor: N/A, Title:
Department: Engineering Department
Email: N/A
Office: Room number: V102b, building: V, campus: Münchberg
Phone: N/A",0.0,0.0,0.389009565114975,0.3890095353126526,0.2581208348274231,1.0,0.15560381412506105,0.0,0.0,0.0,5.3176329135894775
