model,test_id,question,expected_answer,actual_answer,Entity-F1,Token-F1,Cosine Similarity,Semantic Similarity,Answer Relevance,Hallucination,Faithfulness,Completeness,Key Info,Exact Match,Latency (s)
baseline_minilm_mistral_v01,1,"I have a computer science background, which master's courses can I apply for?","Based on your Computer Science background, here are Master programs:

  - Computer Science M.Sc.
  - Software Engineering for Industrial Applications M.Eng.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","You can apply to any of the masters mentioned above. However, keep in mind that you will be able to take most of the modules only in English if your language skills are sufficient. If they are not, you will need to learn the necessary skills beforehand. Also note that in order to enroll in the Applied Research in Computer Science program you will need to submit an additional document (see this link).",0.20689655172413796,0.16279069767441862,0.6578224897384644,0.6578225493431091,0.6377506852149963,0.7857142857142857,0.352530403477805,0.0,0.2222222222222222,0.0,4.839223146438599
baseline_minilm_mistral_v01,2,What programs are available for business students?,"Based on your Business background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Global Management M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Applied Psychology M.Sc.
  - Marketing Management M.Sc.
  - AI-Driven Supply Chain Management (M.Sc.)

Please verify specific admission requirements before applying.","The following programs are available for business students:
- Business Administration B.A.
- Business Law LL.B.
- Digital Business Management (M.Sc.)
- Economic Psychology B.Sc.
- Business Information Systems B.Sc.",0.46376811594202894,0.42857142857142855,0.814130425453186,0.814130425453186,0.7430267930030823,0.2,0.8056521701812744,0.6333333333333333,0.3448275862068966,0.0,3.3194079399108887
baseline_minilm_mistral_v01,3,"I studied engineering, what bachelor programs can I apply to?","Based on your Engineering background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.",I am currently studying mechanical engineering at a university in Germany. I am interested in applying for a bachelors degree program in environmental engineering in Canada. Will I have to take prerequisite courses before I am eligible to apply for the bachelor program in environmental engineering in Canada?,0.14035087719298245,0.11267605633802817,0.5343667268753052,0.5343667268753052,0.5364612340927124,0.7894736842105263,0.34006248022380625,0.0,0.0,0.0,3.367753028869629
baseline_minilm_mistral_v01,4,"I studied engineering, what Masters programs I can apply?","Based on your Engineering background, here are Master programs:

  - Sustainable Textiles M.Eng.
  - Mechanical Engineering M.Eng.
  - Artificial Intelligence and Robotics M.Sc.
  - Sustainable Water Management and Engineering M.Eng.
  - Digitalization and Innovation M.B.A.
  - Supply Chain Management M.Sc.
  - Artificial Intelligence Aided Mobility Design M.A.
  - Textile Design M.A.
  - International Project Management M.Eng./M.A.
  - Software Engineering for Industrial Applications M.Eng.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - Composite Materials M.Eng.

Please verify specific admission requirements before applying.","You can apply to these Master's programs:
Mechanical Engineering M.Eng.
International Project Management M.Eng./M.A.
Engineering Science (international) B.Eng.",0.31746031746031744,0.24615384615384617,0.7665083408355713,0.7665083408355713,0.7052584290504456,0.2857142857142857,0.735174764905657,0.4666666666666667,0.2413793103448276,0.0,2.697549819946289
baseline_minilm_mistral_v01,5,Programs available for economics background?,"Based on your Economics background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","The programs listed in the context are all economics-related programs. However, it is important to note that the answer is based solely on the information provided in the context and does not take into account any other relevant factors or considerations. Therefore, it is recommended to seek further guidance from an academic advisor or the university's website for more detailed and accurate information about the programs and their requirements.",0.15873015873015875,0.1111111111111111,0.5435384511947632,0.5435385704040527,0.7200275659561157,0.8214285714285714,0.3245582853044783,0.0,0.0,0.0,4.463088274002075
baseline_minilm_mistral_v01,6,"I have a law background, what can I study?","Based on your Law background, here are programs:

Bachelor Programs:
  - Business Law LL.B.

Master's Programs:
  - Human Resource Management and Labour Law LL.M./M.A.

Please verify specific admission requirements before applying.","You could consider studying business law. There are several bachelor’s degree programs in business law at universities of applied sciences throughout Germany. Alternatively, you might also be interested in studying business administration or human resource management. The latter would offer you a chance to specialize in labor law as well.",0.25,0.14705882352941174,0.6870889067649841,0.6870889067649841,0.6384316682815552,0.7777777777777778,0.36735200643539434,0.14285714285714285,0.0,0.0,6.002983093261719
baseline_minilm_mistral_v01,7,"I studied Management, what Masters programs I can apply?","Based on your Management background, here are Master programs:

  - International Project Management M.Eng./M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Marketing Management M.Sc.
  - Global Management M.A.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - General Management M.B.A.
  - Sustainable Water Management and Engineering M.Eng.
  - AI-Driven Supply Chain Management (M.Sc.)
  - Supply Chain Management M.Sc.

Please verify specific admission requirements before applying.","You are not able to apply for any Masters program because you do not fulfill the admission requirements.
Please note that we will not accept applications from students who are currently enrolled in another master’s program.",0.13333333333333333,0.07792207792207793,0.5377443432807922,0.537744402885437,0.5665618181228638,0.75,0.3650977611541748,0.0,0.04,0.0,2.702249765396118
baseline_minilm_mistral_v01,8,What programs can psychology students apply for?,"Based on your Psychology background, here are programs:

Bachelor Programs:
  - Economic Psychology B.Sc.

Master's Programs:
  - Applied Psychology M.Sc.

Please verify specific admission requirements before applying.","Program: Applied Psychology M.Sc.
academic: A completed university degree with an overall grade of 2.5 or better in the scope of at least 210 credits (bachelor's or diploma degree) at a German university or an equivalent degree at a foreign university Bachelor graduates in psychology or an application-related interdisciplinary psychology course such as business psychology Applicants with a lack of basic knowledge as well as applicants with a first professional degree of 180 credits may be admitted if they fulfill a post-qualification requirement.
Program: Applied Psychology M.Sc.",0.17857142857142858,0.10526315789473684,0.834135890007019,0.8341358304023743,0.6932119131088257,0.868421052631579,0.20630085029100118,0.6,0.4444444444444444,0.0,0.3197774887084961
baseline_minilm_mistral_v01,9,"I have a design background, what master programs are available?","Based on your Design background, here are Master programs:

  - Textile Design M.A.
  - Artificial Intelligence Aided Mobility Design M.A.

Please verify specific admission requirements before applying.",You are eligible for the Master of Arts Textile Design program.,0.23076923076923078,0.2352941176470588,0.7336962223052979,0.7336962819099426,0.47662317752838135,0.625,0.518478512763977,0.2,0.3333333333333333,0.0,1.1427080631256104
baseline_minilm_mistral_v01,10,Programs for textile technology students?,"Based on your Textile Technology background, here are programs:

Bachelor Programs:
  - Textile Design B.A.

Master's Programs:
  - Textile Design M.A.

Please verify specific admission requirements before applying.",There are two master programs in textile design and one master program in sustainable textiles. The first program is offered at the Technical University of Munich (TUM) and is suitable for students with a background in design or architecture. The second program is also offered at TUM and is suitable for students with a background in engineering or natural sciences. Both programs require three semesters to complete and have no tuition fees. The third program is also offered at TUM and focuses on sustainable textiles. It requires two semesters to complete and has no tuition fees.,0.19999999999999998,0.10666666666666667,0.6703733205795288,0.6703733801841736,0.6420933604240417,0.8484848484848485,0.17952922149138018,0.4,0.0,0.0,6.557062387466431
