model,conversation_number,turn_number,question,expected_resolved,actual_resolved,expected_answer,actual_answer,res_Semantic Similarity,res_Token-F1,res_Entity-F1,res_Token Overlap,ans_Entity-F1,ans_Token-F1,ans_Cosine Similarity,ans_Semantic Similarity,ans_Answer Relevance,ans_Hallucination,ans_Faithfulness,ans_Completeness,ans_Key Info,ans_Exact Match,Latency (s)
reranking_bge_phi2,1,1,What master programs are available for computer science background?,What master programs are available for computer science background?,What master programs are available for computer science background?,"1. Applied Research in Computer Science M.Sc.
2. Artificial Intelligence and Robotics M.Sc.
3. Computer Science M.Sc.",<S> </S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><S></S><,1.0,1.0,1.0,1.0,0.0,0.0,0.16511493921279907,0.16511496901512146,0.15467394888401031,0.0,0.6660459876060486,0.0,0.0,0.0,9.608050107955933
reranking_bge_phi2,1,2,what are the addmission requirements for the 1st program,What are the admission requirements for the Applied Research in Computer Science M.Sc.?,what are the addmission requirements for the 1st program,"Academic requirements: Bachelor’s degree or similar in computer science, media informatics, mobile computing or business information systems or a comparable study program from an accredited university, at least 210 ECTS (European Credit Transfer System) or equivalent (depending on home country); minimum grade 2,5 according to the German grading system (75%). Accredited universities are those that are listed in Anabin with status H+. Graduates from mechanical engineering, civil engineering, electronics & communications engineering or math / physics are not eligible. Above-average grades in object-oriented programming, software engineering, computer networks, and databases. Applicants with less than 210 credits (ECTS (European Credit Transfer System)) can be accepted but must gain the missing credits through an internship (at least 23 weeks) or attending appropriate modules at Hof University. For both alternatives, please calculate an additional (fourth) semester. See also the information about the application process for further requirements.

Language requirements:
- Prove your proficiency in English: TOEFL minimum 90 or IELTS 6.5 or above.
- Proof of basic language skills in German, demonstrated by official test score documents – minimum level A1.","<S>The first program is not specified.</S><S>If there's more information available about it, contact us! </S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S></S",0.4242643713951111,0.5,0.15384615384615383,0.3333333333333333,0.0380952380952381,0.05161290322580645,0.15456247329711914,0.15456247329711914,0.2759854793548584,0.75,0.21182498931884766,0.0,0.0,0.0,12.046765327453613
reranking_bge_phi2,1,3,What's the application deadline for it?,What is the application deadline for the Applied Research in Computer Science M.Sc.?,What's the application deadline for it?,"The application deadlines for the Applied Research in Computer Science M. Sc. are as follows:
- Winter-semester: April 15 - May 31
- Summer-semester: November 5 - November 30",<S> </S><S> </S></S> [Inst] [/inst],0.7395376563072205,0.4444444444444444,0.4615384615384615,0.2857142857142857,0.0,0.0,0.09197327494621277,0.09197327494621277,0.09154188632965088,1.0,0.03678930997848511,0.0,0.0,0.0,6.333654403686523
reranking_bge_phi2,1,4,is there any tuition fee for this program?,What is the tuition fee for the Applied Research in Computer Science M.Sc.?,is there any tuition fee for this program?,There are no tuition fees for the Applied Research in Computer Science M. Sc.,"You can find this information on the website ofyour study program. Most regular Bachelor’s and Master’s programs do not have a tuition fee. For all of our Graduate School programs, there is a tuition fee - see thefee structure. For all programs, there is a mandatory administrative student service fee of around 145 EUR per semester. The amount is due each semester until a certain deadline before the start of the following semester. The exact fee that you have to pay for the first semester will be mentioned in your admission letter. This fee includes for instance your semester ticket, which you can use to travel by bus for free in Hof and between Hof and our other campus locations in Münchberg and Selb (only specific routes/trains). More information on this fee",0.641764223575592,0.4,0.1818181818181818,0.25,0.03333333333333333,0.09803921568627451,0.47470414638519287,0.47470414638519287,0.581937849521637,0.9803921568627451,0.10082318221821505,0.0,0.0,0.0,5.876078367233276
reranking_bge_phi2,1,5,Do I need health insurance to admit this program?,Is health insurance mandatory?,Do I need health insurance to admit this program?,"Yes, health insurance is mandatory. For enrollment at Hof University, you are legally required to have a valid health insurance.","Yes. For enrolment, you are legally required to have a valid health insurance. What type of health insurance you need depends on different factors, such as student status, age and country of origin. Please seeour guide hereto find out which insurance you need. Notaccepted for enrollment are any travel insurances, though they might be required for your visa process. All students must contact a statutory German health insurance providerin time before the semester start, even if you cannot arrive in Germany for the semester start. For details, please log in to the online guide for international students (as explained in your admission letter).",0.69115149974823,0.30769230769230765,0.4444444444444445,0.18181818181818182,0.28571428571428575,0.2708333333333333,0.543562650680542,0.543562650680542,0.5207074880599976,0.8181818181818182,0.16325798468156294,0.0,0.5,0.0,5.887591361999512
reranking_bge_phi2,1,6,what are the addmission requirements for the 2nd program,What are the admission requirements for the Artificial Intelligence and Robotics M.Sc.?,what are the addmission requirements for the 2nd program,"Academic requirements include a bachelor's degree in computer science or another engineering or natural science field providing adequate IT basics. The degree should have 210 credits and a minimum final grade of 2.5; otherwise, an additional module is offered. International applicants must submit their documents to Uni-Assist e. V. in advance and send them to uni-assist e. V. at least four weeks before the application deadline. Additionally, proof of English language proficiency through tests like TOEFL (minimum score 90) or IELTS (score of 6.5 or higher). Knowledge of German at least at level A1, demonstrated by official test scores, is also required.",<S>The second program is still under development. We will provide more details soon.</S></SYS><S/SYS>>,0.3969794511795044,0.5263157894736842,0.18181818181818182,0.35714285714285715,0.031746031746031744,0.02105263157894737,0.07474389672279358,0.07474389672279358,0.20021863281726837,0.875,0.10489755868911743,0.0,0.05555555555555555,0.0,6.494516849517822
reranking_bge_phi2,1,7,What's the application deadline for it?,What is the application deadline for the Artificial Intelligence and Robotics M.Sc.?,What's the application deadline for it?,The application period for the Artificial Intelligence and Robotics M. Sc. is from November 5 to November 30.,Application period for Computer Science (International) B. Sc.: EU: November 5 - January 15 Non-EU: November 5 - November 30,0.6863859295845032,0.4705882352941177,0.5454545454545454,0.3076923076923077,0.4999999999999999,0.3125,0.7244570255279541,0.7244569659233093,0.5897568464279175,0.5384615384615384,0.5667058632924007,0.3333333333333333,0.6666666666666666,0.0,5.820868015289307
reranking_bge_phi2,1,8,tuition fee for this program?,What is the tuition fee for the Artificial Intelligence and Robotics M.Sc.?,tuition fee for this program?,Artificial Intelligence and Robotics M. Sc. has no tuition fees.,"You can find this information on the website ofyour study program. Most regular Bachelor’s and Master’s programs do not have a tuition fee. For all of our Graduate School programs, there is a tuition fee - see thefee structure. For all programs, there is a mandatory administrative student service fee of around 145 EUR per semester. The amount is due each semester until a certain deadline before the start of the following semester. The exact fee that you have to pay for the first semester will be mentioned in your admission letter. This fee includes for instance your semester ticket, which you can use to travel by bus for free in Hof and between Hof and our other campus locations in Münchberg and Selb (only specific routes/trains). More information on this fee",0.6344207525253296,0.37499999999999994,0.22222222222222224,0.23076923076923078,0.03508771929824561,0.04081632653061225,0.46173781156539917,0.46173781156539917,0.5670126676559448,0.9803921568627451,0.09822991525425631,0.3333333333333333,0.0,0.0,5.808328628540039
reranking_bge_phi2,1,9,What is the teaching language for this program?,What is the teaching language for the Artificial Intelligence and Robotics M.Sc.?,What is the teaching language for this program?,The teaching language for the Artificial Intelligence and Robotics M. Sc. is English.,German,0.6210334300994873,0.631578947368421,0.5,0.46153846153846156,0.0,0.0,0.225356325507164,0.2253563106060028,0.20271000266075134,1.0,0.09014252424240113,0.0,0.0,0.0,5.978754758834839
reranking_bge_phi2,1,10,What is the teaching language for Applied Research in Computer Science M.Sc?,What is the teaching language for the Applied Research in Computer Science M.Sc.?,What is the teaching language for Applied Research in Computer Science M.Sc?,The teaching language for the Applied Research in Computer Science M. Sc. is English.,English,0.9953539967536926,0.9166666666666666,1.0,0.8461538461538461,0.16666666666666669,0.0,0.4063146710395813,0.4063146710395813,0.32766759395599365,0.0,0.7625258684158325,0.3333333333333333,0.14285714285714285,0.0,5.929199457168579
