model,test_id,question,expected_answer,actual_answer,Entity-F1,Token-F1,Cosine Similarity,Semantic Similarity,Answer Relevance,Hallucination,Faithfulness,Completeness,Key Info,Exact Match,Latency (s)
baseline_bge_qwen,1,"I have a computer science background, which master's courses can I apply for?","Based on your Computer Science background, here are Master programs:

  - Computer Science M.Sc.
  - Software Engineering for Industrial Applications M.Eng.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","Based on your computer science background, you can apply for the following master’s programs:

- **Applied Research in Computer Science M.Sc.:** This program is offered with an English language option and accepts backgrounds such as Computer Science, Media Informatics, Mobile Computing, and Business Information Systems.
  
- **Computer Science M.Sc.:** Also available in English but this one specifically requires a Computer Science background.

- **Artificial Intelligence and Robotics M.Sc.:** Offered entirely in English and suitable for applicants from Computer Science, Engineering, or Natural Sciences backgrounds.

Therefore, you would be eligible to apply for all three mentioned master’s programs at Hof University.",0.38554216867469876,0.25688073394495414,0.7363405227661133,0.7363404631614685,0.6315522193908691,0.6981132075471698,0.3329677825153999,0.4166666666666667,0.5555555555555556,0.0,4.756051778793335
baseline_bge_qwen,2,What programs are available for business students?,"Based on your Business background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Global Management M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Applied Psychology M.Sc.
  - Marketing Management M.Sc.
  - AI-Driven Supply Chain Management (M.Sc.)

Please verify specific admission requirements before applying.","The following programs are available for business students:

1. **Business Administration B.A.**
2. **Business Information Systems B.Sc.** (Note: There is duplicate listing of this program)
3. **Business Law LL.B.**
4. **General Management M.B.A.**

The second instance of ""Business Information Systems B.Sc."" appears to be redundant based on the given information.

For more detailed admission requirements or other specific inquiries about these programs, please contact:
- Campus: Hof
- Start: Winter semester
- Language: German
- Tuition Fees: None
- Department: Computer Science for the Business Information Systems B.Sc. program",0.30769230769230765,0.24793388429752064,0.7231910228729248,0.7231910824775696,0.6629161834716797,0.7090909090909091,0.46382188753648235,0.6,0.2413793103448276,0.0,4.8713531494140625
baseline_bge_qwen,3,"I studied engineering, what bachelor programs can I apply to?","Based on your Engineering background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.","minimum GPA requirement for admission?: No, there is no general minimum GPA requirement for admission to Hof University.
However, depending on the program, there may be additional academic criteria beyond just GPAs. Check each individual program page for detailed requirements.

Note: Information regarding specific programs should always refer back to the respective program pages on the university website.",0.1492537313432836,0.09195402298850576,0.24940139055252075,0.24940142035484314,0.2453579604625702,0.8275862068965517,0.20320884400400624,0.0,0.043478260869565216,0.0,3.3454689979553223
baseline_bge_qwen,4,"I studied engineering, what Masters programs I can apply?","Based on your Engineering background, here are Master programs:

  - Sustainable Textiles M.Eng.
  - Mechanical Engineering M.Eng.
  - Artificial Intelligence and Robotics M.Sc.
  - Sustainable Water Management and Engineering M.Eng.
  - Digitalization and Innovation M.B.A.
  - Supply Chain Management M.Sc.
  - Artificial Intelligence Aided Mobility Design M.A.
  - Textile Design M.A.
  - International Project Management M.Eng./M.A.
  - Software Engineering for Industrial Applications M.Eng.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - Composite Materials M.Eng.

Please verify specific admission requirements before applying.","Based on the information provided, if you studied engineering, you may qualify to apply for the following master's programs:

- **Software Engineering for Industrial Applications M.Eng.:** Requires a Bachelor’s degree in software engineering or similar fields such as computer science, but given your background in general engineering, it might still be possible depending on specific course equivalencies.

- **Sustainable Engineering and Project Management M.B.A. and Eng.:** Requires a Bachelor’s degree or similar from an accredited university in engineering sciences, which aligns well with your background.

You would need to review the detailed curriculum and prerequisites for each program to ensure full eligibility based on your specific undergraduate coursework and experiences. Additionally, both programs require proof of English language proficiency and basic German language skills before starting the internship period.",0.29824561403508776,0.2222222222222222,0.6930325031280518,0.6930325031280518,0.6789971590042114,0.7384615384615385,0.39072247035686786,0.5333333333333333,0.3103448275862069,0.0,5.74559473991394
baseline_bge_qwen,5,Programs available for economics background?,"Based on your Economics background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","I don't have that information. The given context does not specify any admission requirements or modules related to specific economic backgrounds for the programs listed. It provides details about program types, departments, languages, durations, campuses, start times, tuition fees, and some courses but does not indicate how an economics background affects admissions or course selection.",0.23188405797101447,0.13483146067415733,0.5677909851074219,0.5677909851074219,0.6720947027206421,0.7647058823529411,0.3682928646312041,0.0,0.0,0.0,2.4895541667938232
baseline_bge_qwen,6,"I have a law background, what can I study?","Based on your Law background, here are programs:

Bachelor Programs:
  - Business Law LL.B.

Master's Programs:
  - Human Resource Management and Labour Law LL.M./M.A.

Please verify specific admission requirements before applying.","Based on the programs listed, if you have a law background, you could consider studying:

- **Business Law LL.B.:** This is a bachelor's program offered at Hof University. It would likely build upon your existing legal knowledge.

However, note that this specific program does not explicitly mention requiring prior law experience; it primarily targets students who wish to pursue an undergraduate degree in business law.

Alternatively, there is another related master’s-level option available:

- **Human Resource Management and Labour Law LL.M./M.A.:** While also located at Hof University, this is a more advanced/master’s level program focusing specifically on human resource management and labour law. Given its focus area aligns closely with labor laws and practices, which often intersect with general legal studies, this might be suitable depending on how much detail you want to go into specialized areas within law.

If these options do not fully meet your needs based on your current qualifications and interests, additional details such as academic transcripts should be reviewed against the admission",0.30476190476190473,0.18181818181818182,0.7891842126846313,0.7891840934753418,0.628185510635376,0.8095238095238095,0.21497967583792552,0.8571428571428571,0.6363636363636364,0.0,7.186349868774414
baseline_bge_qwen,7,"I studied Management, what Masters programs I can apply?","Based on your Management background, here are Master programs:

  - International Project Management M.Eng./M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Marketing Management M.Sc.
  - Global Management M.A.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - General Management M.B.A.
  - Sustainable Water Management and Engineering M.Eng.
  - AI-Driven Supply Chain Management (M.Sc.)
  - Supply Chain Management M.Sc.

Please verify specific admission requirements before applying.","Based on your background in Management, you can apply to the following master's programs at Hof University:

1. **Global Management M.A.**
   - Duration: 3 semesters
   - Eligible Backgrounds: Business Management, International Management, Industrial Engineering, Business Informatics

2. **AI-Driven Supply Chain Management (M.Sc.)**
   - Duration: 3 semesters
   - Eligible Backgrounds: Business Management, International Management, Industrial Engineering, Business Informatics

You do not meet the eligibility criteria for the General Management M.B.A., which requires backgrounds such as Humanities, Social Sciences, Engineering Sciences, or Economic Sciences.

If you need more specific details about these programs, please refer to their respective program descriptions available through the university’s official channels.",0.36893203883495146,0.21487603305785125,0.7462403774261475,0.7462402582168579,0.6355499029159546,0.6779661016949152,0.49171644226979405,0.5483870967741935,0.44,0.0,5.821048259735107
baseline_bge_qwen,8,What programs can psychology students apply for?,"Based on your Psychology background, here are programs:

Bachelor Programs:
  - Economic Psychology B.Sc.

Master's Programs:
  - Applied Psychology M.Sc.

Please verify specific admission requirements before applying.","Are there scholarships available for international students?: Yes, there are scholarship opportunities available for international students. However, these vary depending on the type of program and individual circumstances. To learn more about potential scholarships, please visitour webpage dedicated to scholarshipsfor international students.
You should also consider checking with your home country government or organization for additional funding possibilities.
It would be best to reach out to us directly regarding specific scholarship inquiries.
Is there anything else I need to know before starting my studies?: Before starting your studies, ensure that you familiarize yourself with the following:

- **Academic Regulations**: Review the Study and Examination Regulations (Studien- und Prüfungsordnung - SPO) linked on each program page.
- **Orientation Programs**: Participate in the Orientation Program organized by the International Office prior to the official start date of classes.
- **Health Insurance**: Ensure you have health insurance coverage suitable for studying in Germany; many countries provide reciprocal agreements covering medical costs while traveling/studying",0.06060606060606061,0.09722222222222222,0.27182549238204956,0.27182549238204956,0.2292151153087616,0.9629629629629629,0.06547620958752104,0.0,0.1111111111111111,0.0,8.632574796676636
baseline_bge_qwen,9,"I have a design background, what master programs are available?","Based on your Design background, here are Master programs:

  - Textile Design M.A.
  - Artificial Intelligence Aided Mobility Design M.A.

Please verify specific admission requirements before applying.","Based on your design background, the following master programs are available:

- **Textile Design M.A.:** Available at the Münchberg campus during the summer semester. There is no tuition fee, and eligible backgrounds include Design or Architecture.

- **Artificial Intelligence Aided Mobility Design M.A.:** Available at the Selb campus during both winter and summer semesters. While this program also has engineering as one of its eligible backgrounds, it aligns well with a design-oriented perspective given the focus on mobility design.

Therefore, you would be suitable for applying to the *Textile Design M.A.* program offered at Hof University. The *Artificial Intelligence Aided Mobility Design M.A.* could also be considered if you're interested in combining your design expertise with technology and innovation in transportation systems.",0.3768115942028985,0.2,0.8702995181083679,0.8702995777130127,0.5321661829948425,0.7450980392156863,0.25053050377789665,0.8,0.7777777777777778,0.0,6.014749765396118
baseline_bge_qwen,10,Programs for textile technology students?,"Based on your Textile Technology background, here are programs:

Bachelor Programs:
  - Textile Design B.A.

Master's Programs:
  - Textile Design M.A.

Please verify specific admission requirements before applying.","The programs available for textile technology students at Hof University include:

1. **Textile Design B.A.**
2. **Sustainable Textiles M.Eng.**

The modules within these programs are described below:

### Sustainable Textiles M.Eng.

#### Modules:
- **Renewable Products for the Textile Industry (Fibers, Auxiliaries, Dye-stuffs)** - Course Type: SU, Ü  
- **Advanced Textile Production** - ECTS: N/A, Exam Type: N/A, Course Type: SU, Pr  
- **Advanced Textile Chemistry** - ECTS: N/A, Exam Type: N/A, Course Type: SU, Pr  
- **Sustainable Functionalization and Surface Modification of Textiles** - ECTS: N/A, Exam Type: N/A, Course Type: SU, Pr  

If you need more specific details or contact information related to these programs, please provide the exact email, URL, or phone number from",0.1818181818181818,0.14583333333333334,0.6419235467910767,0.6419236660003662,0.7083245515823364,0.8833333333333333,0.16338473320007324,0.6,0.25,0.0,7.167210102081299
