model,test_id,question,expected_answer,actual_answer,Entity-F1,Token-F1,Cosine Similarity,Semantic Similarity,Answer Relevance,Hallucination,Faithfulness,Completeness,Key Info,Exact Match,Latency (s)
baseline_multiqa_phi2,1,"I have a computer science background, which master's courses can I apply for?","Based on your Computer Science background, here are Master programs:

  - Computer Science M.Sc.
  - Software Engineering for Industrial Applications M.Eng.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","Based on your computer science background, you are eligible to apply for the following master's courses: Applied Research in Computer Science M.Sc., Computer Science M.Sc., Business Information Systems B.Sc., and Software Engineering for Industrial Applications M.Eng.",0.6181818181818183,0.523076923076923,0.8109413981437683,0.8109413981437683,0.7669535279273987,0.32,0.7323765592575073,0.4166666666666667,0.6111111111111112,0.0,5.387370586395264
baseline_multiqa_phi2,2,What programs are available for business students?,"Based on your Business background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Global Management M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Applied Psychology M.Sc.
  - Marketing Management M.Sc.
  - AI-Driven Supply Chain Management (M.Sc.)

Please verify specific admission requirements before applying.","There are several options for business students, including Business Administration B.A., Business Law LL.B.,
Business Information Systems B.Sc., Economic and Organizational Sociology B.A., and Marketing Management M.Sc. Each program has its own admission requirements.
""""""
```",0.4864864864864865,0.35000000000000003,0.8233298063278198,0.8233298063278198,0.6811967492103577,0.28,0.7613319225311279,0.6,0.3793103448275862,0.0,5.304525136947632
baseline_multiqa_phi2,3,"I studied engineering, what bachelor programs can I apply to?","Based on your Engineering background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.","```python
# Solution
programs = {'Mechanical Engineering M.Eng.': {
""Admission Requirements"": """",
}, 'Engineering Science (international) B.Eng.': {
""Type"": ""Bachelor"",
""Department"": ""Engineering"",
""Language"": ""English"",
""Duration"": 7,
""Campus"": ""Hof"",
""Start"": ""Winter Semester"",
""Tuition Fees"": ""none"",
}, 'Software Engineering for Industrial Applications M.Eng.': {
""Module"": ""Software Engineering"",
""ECTS"": 0,
""Exam Type"": ""N/",0.23684210526315788,0.07058823529411765,0.3789043128490448,0.3789043426513672,0.4272657036781311,0.7631578947368421,0.2936670002184416,0.14285714285714285,0.17391304347826086,0.0,5.368884563446045
baseline_multiqa_phi2,4,"I studied engineering, what Masters programs I can apply?","Based on your Engineering background, here are Master programs:

  - Sustainable Textiles M.Eng.
  - Mechanical Engineering M.Eng.
  - Artificial Intelligence and Robotics M.Sc.
  - Sustainable Water Management and Engineering M.Eng.
  - Digitalization and Innovation M.B.A.
  - Supply Chain Management M.Sc.
  - Artificial Intelligence Aided Mobility Design M.A.
  - Textile Design M.A.
  - International Project Management M.Eng./M.A.
  - Software Engineering for Industrial Applications M.Eng.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - Composite Materials M.Eng.

Please verify specific admission requirements before applying.","Based on the provided context, you can apply for the following Masters programs: Mechanical Engineering M.Eng., Software Engineering for Industrial Applications M.Eng., Advanced Programming, Project Management, and Master Thesis.
""""""
)
parser = argparse.ArgumentParser()
subparsers = parser.add_subparsers(dest=""command"")",0.379746835443038,0.3,0.31581810116767883,0.31581807136535645,0.3300970196723938,0.5,0.4263272285461426,0.26666666666666666,0.3448275862068966,0.0,5.3518760204315186
baseline_multiqa_phi2,5,Programs available for economics background?,"Based on your Economics background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","""""""
# TODO add more answers here
pass",0.0,0.043478260869565216,-0.07435526698827744,-0.07435528188943863,-0.02237207256257534,1.0,-0.029742112755775454,0.0,0.0,0.0,0.6443014144897461
baseline_multiqa_phi2,6,"I have a law background, what can I study?","Based on your Law background, here are programs:

Bachelor Programs:
  - Business Law LL.B.

Master's Programs:
  - Human Resource Management and Labour Law LL.M./M.A.

Please verify specific admission requirements before applying.","Based only on the provided context, you can consider studying the following programs:
1. ""Human Resources Management and Labour Law LL.M./M.A."" - which is related to your law background as it covers labour law in detail.
2. ""Business Law LL.B."" - this program provides a solid foundation in business law and would complement your legal knowledge.
3. ""Economic Psychology B.Sc."" - while not directly related to law, this field of study might provide you with insights into consumer behavior and market dynamics, which are relevant in many areas of business law.",0.2985074626865672,0.22680412371134023,0.7704243659973145,0.7704243063926697,0.7004005908966064,0.782608695652174,0.30702315361603444,0.7142857142857143,0.5454545454545454,0.0,4.40090012550354
baseline_multiqa_phi2,7,"I studied Management, what Masters programs I can apply?","Based on your Management background, here are Master programs:

  - International Project Management M.Eng./M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Marketing Management M.Sc.
  - Global Management M.A.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - General Management M.B.A.
  - Sustainable Water Management and Engineering M.Eng.
  - AI-Driven Supply Chain Management (M.Sc.)
  - Supply Chain Management M.Sc.

Please verify specific admission requirements before applying.","Based on the above, you can apply for
the following Masters programs:
1) International Management
2) Marketing Management
3) International Project Management
4) Global Management
""""""",0.31746031746031744,0.24242424242424243,0.8166666030883789,0.8166666030883789,0.7403982877731323,0.47368421052631576,0.6424561149195622,0.03225806451612903,0.24,0.0,5.406306266784668
baseline_multiqa_phi2,8,What programs can psychology students apply for?,"Based on your Psychology background, here are programs:

Bachelor Programs:
  - Economic Psychology B.Sc.

Master's Programs:
  - Applied Psychology M.Sc.

Please verify specific admission requirements before applying.","Psychology students can apply for the following programs:
1. Applied Psychology M.Sc.
2. Economic and Organizational Sociology B.A.
3. Marketing Management M.Sc.",0.3333333333333333,0.23809523809523808,0.839868426322937,0.8398683667182922,0.7406173944473267,0.6666666666666666,0.5359473466873169,0.6,0.4444444444444444,0.0,5.401214838027954
baseline_multiqa_phi2,9,"I have a design background, what master programs are available?","Based on your Design background, here are Master programs:

  - Textile Design M.A.
  - Artificial Intelligence Aided Mobility Design M.A.

Please verify specific admission requirements before applying.","None of the above.
""""""
# First we get all the entries that match our search term
search_term = ""design""
relevant_entries = [entry for entry in self._data if re.match(search_term, entry[""title""])]",0.07407407407407407,0.0,0.14347900450229645,0.14347903430461884,0.12472544610500336,0.8888888888888888,0.12405828038851423,0.0,0.0,0.0,5.3655104637146
baseline_multiqa_phi2,10,Programs for textile technology students?,"Based on your Textile Technology background, here are programs:

Bachelor Programs:
  - Textile Design B.A.

Master's Programs:
  - Textile Design M.A.

Please verify specific admission requirements before applying.","```python
# Define a list of programs in textile technology
textile_programs = [
{'name': 'Textile Design B.A.', 'admission_requirements': {},
'success_rate': 0.9},
{'name': 'Sustainable Textiles M.Eng.', 'admission_requirements': {},
'success_rate': 0.85},
{'name': 'Advanced Textile Production', 'admission_requirements': {},
'success_rate': 0.8},
{'name': 'Advanced Textile Chemistry', 'admission_requ",0.27777777777777773,0.11538461538461538,0.48562097549438477,0.48562097549438477,0.5286836624145508,0.7368421052631579,0.35214312703985917,0.4,0.25,0.0,5.398111343383789
