conversation_number,turns,res_semantic_sim,res_token_f1,res_entity_f1,ans_entity_f1,ans_token_f1,ans_semantic_sim,ans_faithfulness,ans_hallucination,ans_completeness,avg_latency
1,12,0.9298814584811529,0.8681159420289855,0.8255969785575049,0.7090508400519204,0.7007910502450422,0.8835554271936417,0.765018314196226,0.2984342384525986,0.705050505050505,3.412643472353617
2,9,0.9688989520072937,0.9233954451345756,0.95562435500516,0.8816229985025772,0.8639928821443473,0.9617990189128451,0.9369125900212784,0.0796783625730994,0.9135802469135802,5.569400866826375
3,10,0.9340259432792664,0.895438596491228,0.8961538461538462,0.7684868685964834,0.7535343452675576,0.8693487644195557,0.8086477405888693,0.22121428571428572,0.7458333333333333,2.6847140073776243
4,9,0.9432952536476983,0.8444444444444444,0.8917748917748918,0.7044346820958765,0.6817217043972262,0.8706077734629313,0.7631203676844497,0.28044496176849115,0.7954545454545454,4.571858353084988
5,5,0.8813026070594787,0.799749373433584,0.7871794871794872,0.4636313010477683,0.49096981618969054,0.7464434742927551,0.5797410260807384,0.5313939393939394,0.64,4.014978075027466
6,1,0.5596617460250854,0.5641025641025641,0.6666666666666665,0.7329192546583853,0.7312775330396476,0.9529699087142944,0.8182250005227549,0.2716049382716049,0.8421052631578947,10.765800476074219
7,4,1.0000000149011612,1.0,1.0,0.925,0.896551724137931,0.9813361018896103,0.9530607565453179,0.06578947368421052,0.8333333333333333,2.5475668907165527
8,7,0.9996256147112165,1.0,1.0,0.6875714652212348,0.6670825106599416,0.8411032472337995,0.7402913205266105,0.3113723750369713,0.6630591630591631,5.006958791187832
9,7,0.9239637085369655,0.8653198653198653,0.8583959899749374,0.6186129870522107,0.6512321496536531,0.8736442838396344,0.6900982882062431,0.3934165741230959,0.695578231292517,3.887317521231515
10,6,1.00000003973643,1.0,1.0,0.7088578088578088,0.542534311021706,0.8556678493817648,0.7086184365305549,0.33136724386724387,0.7222222222222222,3.5240298906962075
11,5,1.000000011920929,1.0,1.0,0.7991341991341991,0.7720969089390142,0.918121612071991,0.8377920713424682,0.19777777777777777,0.6666666666666666,2.4277732372283936
12,10,0.9513670086860657,0.8555555555555555,0.8772727272727273,0.6803489735468398,0.6218522400168641,0.8998707294464111,0.7835941996989213,0.2939234867994054,0.7416666666666667,3.6833099842071535
13,1,0.636320173740387,0.6206896551724138,0.7777777777777778,0.9482758620689654,0.8930817610062892,0.9802813529968262,0.9514345750970356,0.06779661016949153,1.0,10.074180603027344
14,7,0.9999999829701015,1.0,1.0,0.9301587301587302,0.9077196095829636,0.9725498471941266,0.9264655715624491,0.08888888888888889,1.0,3.1830358505249023
15,2,1.0,1.0,1.0,0.7727272727272727,0.7680412371134021,0.9613224267959595,0.8397013845114872,0.2413793103448276,0.6666666666666666,2.4951751232147217
