model,test_id,question,expected_answer,actual_answer,Entity-F1,Token-F1,Cosine Similarity,Semantic Similarity,Answer Relevance,Hallucination,Faithfulness,Completeness,Key Info,Exact Match,Latency (s)
baseline_bge_mistral_v02,1,"I have a computer science background, which master's courses can I apply for?","Based on your Computer Science background, here are Master programs:

  - Computer Science M.Sc.
  - Software Engineering for Industrial Applications M.Eng.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","You can apply for the following master's programs with your computer science background: Applied Research in Computer Science M.Sc., Computer Science M.Sc. (English), Computer Science M.Sc. (German), Artificial Intelligence and Robotics M.Sc., and Software Engineering for Industrial Applications M.Eng.",0.75,0.53125,0.8774197101593018,0.8774197101593018,0.7389436960220337,0.19230769230769232,0.8355832686791054,0.5833333333333334,0.7222222222222222,0.0,3.292398691177368
baseline_bge_mistral_v02,2,What programs are available for business students?,"Based on your Business background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Global Management M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Applied Psychology M.Sc.
  - Marketing Management M.Sc.
  - AI-Driven Supply Chain Management (M.Sc.)

Please verify specific admission requirements before applying.","The following programs are available for business students: Business Administration B.A., Business Information Systems B.Sc., Business Law LL.B., and General Management M.B.A. (with Business Management Systems module using SAP).",0.3188405797101449,0.25,0.6649739146232605,0.6649739146232605,0.7113426327705383,0.45,0.5959895658493042,0.5666666666666667,0.2413793103448276,0.0,2.3128554821014404
baseline_bge_mistral_v02,3,"I studied engineering, what bachelor programs can I apply to?","Based on your Engineering background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.",Answer the question based only on the provided context. Be concise and direct.,0.043478260869565216,0.11538461538461538,0.01568339392542839,0.015683390200138092,-0.01386425644159317,0.875,0.08127335608005523,0.0,0.0,0.0,7.94293212890625
baseline_bge_mistral_v02,4,"I studied engineering, what Masters programs I can apply?","Based on your Engineering background, here are Master programs:

  - Sustainable Textiles M.Eng.
  - Mechanical Engineering M.Eng.
  - Artificial Intelligence and Robotics M.Sc.
  - Sustainable Water Management and Engineering M.Eng.
  - Digitalization and Innovation M.B.A.
  - Supply Chain Management M.Sc.
  - Artificial Intelligence Aided Mobility Design M.A.
  - Textile Design M.A.
  - International Project Management M.Eng./M.A.
  - Software Engineering for Industrial Applications M.Eng.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - Composite Materials M.Eng.

Please verify specific admission requirements before applying.","Based on the provided context, you can apply for the ""Software Engineering for Industrial Applications M.Eng."" or ""Sustainable Engineering and Project Management M.B.A. and Eng."" programs since you have an engineering background.",0.44117647058823534,0.2702702702702703,0.7218568921089172,0.7218568325042725,0.6126726269721985,0.21052631578947367,0.7624269435280248,0.5333333333333333,0.3103448275862069,0.0,2.5399277210235596
baseline_bge_mistral_v02,5,Programs available for economics background?,"Based on your Economics background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","The following programs have a focus on economics: Economic Psychology B.Sc., Global Management M.A. (Module: Digital Economics), General Management M.B.A. (Module: Applied Economics and Intercultural Management), and Digitalization and Innovation M.B.A. (Module: Applied Economics and Intercultural Management).",0.3448275862068965,0.30769230769230765,0.7607240080833435,0.7607240676879883,0.6584417223930359,0.5652173913043478,0.5651591922925867,0.7222222222222222,0.38095238095238093,0.0,3.5791690349578857
baseline_bge_mistral_v02,6,"I have a law background, what can I study?","Based on your Law background, here are programs:

Bachelor Programs:
  - Business Law LL.B.

Master's Programs:
  - Human Resource Management and Labour Law LL.M./M.A.

Please verify specific admission requirements before applying.","Based on the context provided, you can pursue a Business Law LL.B. program which is offered in the Department of Business at Hof Campus for a duration of 7 semesters with no tuition fees.",0.21052631578947367,0.17857142857142855,0.6202442646026611,0.6202442049980164,0.4750145673751831,0.7647058823529411,0.3892741525874419,0.14285714285714285,0.2727272727272727,0.0,2.10016131401062
baseline_bge_mistral_v02,7,"I studied Management, what Masters programs I can apply?","Based on your Management background, here are Master programs:

  - International Project Management M.Eng./M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Marketing Management M.Sc.
  - Global Management M.A.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - General Management M.B.A.
  - Sustainable Water Management and Engineering M.Eng.
  - AI-Driven Supply Chain Management (M.Sc.)
  - Supply Chain Management M.Sc.

Please verify specific admission requirements before applying.","Based on the provided context, you can apply for the following Masters programs with a background in Management: Global Management M.A., Global Management M.A. (Market Research), or AI-Driven Supply Chain Management (M.Sc.). All these programs are offered at Hof University, last three semesters, and taught in English. Please note that some programs may have additional prerequisites or application requirements, so make sure to check each program's specific information.",0.345679012345679,0.2285714285714286,0.7785742282867432,0.7785741090774536,0.7041983604431152,0.6216216216216216,0.5384566706580085,0.45161290322580644,0.32,0.0,4.704695224761963
baseline_bge_mistral_v02,8,What programs can psychology students apply for?,"Based on your Psychology background, here are programs:

Bachelor Programs:
  - Economic Psychology B.Sc.

Master's Programs:
  - Applied Psychology M.Sc.

Please verify specific admission requirements before applying.",Answer the question based only on the provided context. Be concise and direct.,0.07692307692307691,0.11764705882352942,-0.07557801902294159,-0.07557801902294159,0.031881578266620636,0.875,0.04476879239082336,0.0,0.0,0.0,7.9197797775268555
baseline_bge_mistral_v02,9,"I have a design background, what master programs are available?","Based on your Design background, here are Master programs:

  - Textile Design M.A.
  - Artificial Intelligence Aided Mobility Design M.A.

Please verify specific admission requirements before applying.","The Textile Design M.A. program is available for individuals with a design background. It has academic requirements including a Bachelor's degree or similar in design or architecture, eligibility for admission being dependent on the number of ECTS earned. Additionally, there is a two-step application process involving a project proposal submission and an oral examination. This program carries no tuition fees.",0.19999999999999998,0.1643835616438356,0.7498868107795715,0.7498868703842163,0.4868530035018921,0.84375,0.27559332370758055,0.6,0.2222222222222222,0.0,3.942105531692505
baseline_bge_mistral_v02,10,Programs for textile technology students?,"Based on your Textile Technology background, here are programs:

Bachelor Programs:
  - Textile Design B.A.

Master's Programs:
  - Textile Design M.A.

Please verify specific admission requirements before applying.","The context provides information about four modules within the Sustainable Textiles M.Eng. program. These modules are ""Renewable Products for the Textile Industry,"" ""Advanced Textile Production,"" ""Advanced Textile Chemistry,"" and ""Sustainable Functionalization and Surface Modification of Textiles."" This program appears to be focused on sustainable aspects of textile technology.",0.08,0.09999999999999999,0.5650035738945007,0.565003514289856,0.5966554880142212,0.9393939393939394,0.23612853787162086,0.0,0.125,0.0,3.8099565505981445
baseline_bge_mistral_v02,11,"I studied IT, which programs can I apply for?","Based on your It background, here are programs:

Bachelor Programs:
  - Mobile App Development B.Sc.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Computer Science (International) B.Sc.
  - Engineering Science (international) B.Eng.

Master's Programs:
  - Computer Science M.Sc.
  - Digital Business Management (M.Sc.)
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.",Answer the question based only on the provided context. Be concise and direct.,0.038461538461538464,0.10169491525423728,0.011823158711194992,0.011823163367807865,0.09617060422897339,0.875,0.07972926534712314,0.0,0.0,0.0,7.884902238845825
baseline_bge_mistral_v02,12,"I studied informatics, what master programs can I apply to?","Based on your Informatics background, here are Master programs:

  - Computer Science M.Sc.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","Based on the provided context, you can apply to the following master programs as you hold a bachelor's degree in Informatics:",0.23529411764705882,0.163265306122449,0.7331979870796204,0.7331979274749756,0.8619164824485779,0.6,0.5332791709899902,0.1,0.14285714285714285,0.0,6.538055658340454
baseline_bge_mistral_v02,13,"I have a Science background, what bachelor programs can I apply to?","Based on your Science background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.",Answer the question based only on the provided context. Be concise and direct.,0.043478260869565216,0.11538461538461538,0.02486061304807663,0.024860616773366928,-0.021991897374391556,0.875,0.08494424670934678,0.0,0.0,0.0,7.894432544708252
baseline_bge_mistral_v02,14,"I have a Business background,  what bachelor programs can I apply to?","Based on your Business background, here are Bachelor programs:

  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Please verify specific admission requirements before applying.",Answer the question based only on the provided context. Be concise and direct.,0.05555555555555556,0.13953488372093023,-0.004913883283734322,-0.004913882818073034,-0.011908184736967087,0.875,0.07303444687277079,0.0,0.0,0.0,7.9089555740356445
baseline_bge_mistral_v02,15,"I completed my high school from Arts, what bachelor programs can I apply to?","Based on your Arts background, here are Bachelor programs:

  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Economic Psychology B.Sc.

Please verify specific admission requirements before applying.",Answer the question based only on the provided context. Be concise and direct.,0.058823529411764705,0.14285714285714288,0.005272621288895607,0.005272619426250458,-0.03677918761968613,0.875,0.07710904777050018,0.0,0.0,0.0,7.911954402923584
baseline_bge_mistral_v02,16,What engineering bachelor programs does Hof University offer?,"Here are the programs in Engineering (Bachelor level):

  - Design and Mobility B.A.
  - Engineering Science (international) B.Eng.
  - Environmental Engineering (B.Eng.)
  - Innovative Textiles B.Eng.
  - Textile Design B.A.",Answer the question based only on the provided context. Be concise and direct.,0.0,0.12121212121212123,-0.012052740901708603,-0.012052744626998901,0.023406434804201126,1.0,-0.004821097850799561,0.0,0.0,0.0,7.887179136276245
baseline_bge_mistral_v02,17,Computer science bachelor programs?,"Here are the programs in Computer Science (Bachelor level):

  - Business Information Systems B.Sc.
  - Computer Science (B.Sc.)
  - Computer Science (International) B.Sc.
  - Media Informatics B.Sc.
  - Mobile App Development B.Sc.","There are three computer science bachelor programs offered at the Computer Science department in Hof: Computer Science (B.Sc.), Computer Science (International) B.Sc., and Business Information Systems B.Sc. All programs have a duration of 7 or 8 semesters and start in either winter or summer semester. The tuition fees for all programs are none.",0.45833333333333337,0.36666666666666664,0.6576646566390991,0.6576646566390991,0.704403817653656,0.6071428571428571,0.44890213353293285,0.7,0.5,0.0,3.6609771251678467
baseline_bge_mistral_v02,18,What master programs are in engineering?,"Here are the programs in Engineering (Master level):

  - Artificial Intelligence Aided Mobility Design M.A.
  - Composite Materials M.Eng.
  - International Project Management M.Eng./M.A.
  - Mechanical Engineering M.Eng.
  - Sustainable Textiles M.Eng.
  - Sustainable Water Management and Engineering M.Eng.
  - Textile Design M.A.","The following master programs are offered in the field of engineering at Hof University of Applied Sciences: Sustainable Engineering and Project Management (M.B.A. and Eng.), International Project Management (M.Eng./M.A.), Sustainable Water Management and Engineering (M.Eng.), Software Engineering for Industrial Applications (M.Eng.), and Operational Excellence (M.B.A. and Eng.). These programs have varying durations and tuition fees. Specific details can be found in the context provided.",0.32352941176470584,0.3013698630136986,0.6291754245758057,0.6291753053665161,0.6770723462104797,0.725,0.4166701221466065,0.6875,0.3684210526315789,0.0,5.035761117935181
baseline_bge_mistral_v02,19,Computer science master programs?,"Here are the programs in Computer Science (Master level):

  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Computer Science M.Sc.","There are three computer science master programs offered at the department of Computer Science in Hof. They are all taught in English, have a duration of 3 semesters, and do not require tuition fees. The eligible backgrounds vary from Computer Science to Computer Science, Media Informatics, Mobile Computing, or Business Information Systems depending on the specific program. Additionally, there is an Artificial Intelligence and Robotics master program available at the same department, which also does not charge tuition fees but has different eligibility requirements (Computer Science, Engineering, or Natural Sciences). Furthermore, there are two other graduate programs, a Master of Engineering in Software Engineering for Industrial Applications with a tuition fee of 3,30",0.25352112676056343,0.198019801980198,0.5138705968856812,0.5138705968856812,0.6231116056442261,0.8392857142857143,0.15098840509142195,0.0,0.6,0.0,6.900845289230347
baseline_bge_mistral_v02,20,English-taught master programs?,"Here are the programs English-taught (Master level):

  - AI-Driven Supply Chain Management (M.Sc.)
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence Aided Mobility Design M.A.
  - Artificial Intelligence and Robotics M.Sc.
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - General Management M.B.A.
  - Global Management M.A.
  - Operational Excellence M.B.A. and Eng.
  - Software Engineering for Industrial Applications M.Eng.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - Sustainable Textiles M.Eng.
  - Sustainable Water Management and Engineering M.Eng.
  - Textile Design M.A.","There are several English-taught master programs available at the university. These include the Global Management M.A., General Management M.B.A., Digitalization and Innovation M.B.A., Artificial Intelligence Aided Mobility Design M.A., and Sustainable Water Management and Engineering M.Eng. programs. The duration and tuition fees vary for each program. Some programs, such as the Global Management M.A. and Artificial Intelligence Aided Mobility Design M.A., have no tuition fees, while others, such as the General Management M.B.A. and Digitalization and Innovation M.B.A., require a tuition fee of 3,300",0.4782608695652174,0.43564356435643564,0.6482853889465332,0.6482855677604675,0.6327173709869385,0.40540540540540543,0.6160709838609437,0.6470588235294118,0.4166666666666667,0.0,6.752681732177734
baseline_bge_mistral_v02,21,German master programs in business?,"Here are the programs German-taught in Business (Master level):

  - Applied Psychology M.Sc.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Marketing Management M.Sc.
  - Supply Chain Management M.Sc.","The following German master programs are available in the business field at Hof University of Applied Sciences: Digital Business Management, Marketing Management, Supply Chain Management, and Applied Psychology. All programs are offered by the Business Department, last for three semesters, and have no tuition fees. Eligibility requirements vary by program but generally require a bachelor's or equivalent degree and proof of sufficient background knowledge in areas such as economics and information technology.",0.37142857142857144,0.24999999999999994,0.6516759395599365,0.651675820350647,0.7085277438163757,0.723404255319149,0.2986394424641386,0.1,0.5333333333333333,0.0,4.329625606536865
baseline_bge_mistral_v02,22,Which programs are taught in German?,I found several German-taught programs. Would you like to see Bachelor or Master programs?,"The programs ""Digitalization and Innovation M.B.A."", with modules ""German B1"", ""German B2.1"", ""German B2.2"", and ""German C1.1"", and ""German C1.2"" are taught in German.",0.35294117647058826,0.0,0.596680760383606,0.596680760383606,0.7062115669250488,0.6666666666666666,0.39480507373809814,0.0,0.25,0.0,2.887943983078003
baseline_bge_mistral_v02,23,English business master programs with no tuition?,"Here are the programs English-taught tuition-free in Business (Master level):

  - AI-Driven Supply Chain Management (M.Sc.)
  - Digital Business Management (M.Sc.)
  - Global Management M.A.","The Global Management M.A., Digital Business Management (M.Sc.), AI-Driven Supply Chain Management (M.Sc.), and Applied Psychology M.Sc. are English business master programs offered at Hof University of Applied Sciences that do not charge tuition fees.",0.6363636363636364,0.4081632653061224,0.8029061555862427,0.8029062747955322,0.6111200451850891,0.46153846153846156,0.644239432995136,0.8333333333333334,0.8181818181818182,0.0,2.7477970123291016
