conversation_number,turns,res_semantic_sim,res_token_f1,res_entity_f1,ans_entity_f1,ans_token_f1,ans_semantic_sim,ans_faithfulness,ans_hallucination,ans_completeness,avg_latency
1,12,0.668101162960132,0.5845495069372778,0.4872248122248122,0.1351497658915014,0.11944224402987909,0.33337126082430285,0.3158664353584018,0.67296918767507,0.05555555555555555,6.1507190863291425
2,9,0.6214230193032159,0.5524361011461115,0.5216524216524216,0.17518603964468776,0.15235531209870112,0.404580091436704,0.32286661282913764,0.6907359718080781,0.1148148148148148,8.70390158229404
3,10,0.7682958841323853,0.7250025138260432,0.7198701298701299,0.21736553687990073,0.17904466020594886,0.5190126210451126,0.3411596979149131,0.7284901220949831,0.15,6.955349135398865
4,9,0.9014774627155728,0.7572051042639277,0.827665544332211,0.20494677662866898,0.21356417376890954,0.5304367105580039,0.33063884570482105,0.7678677299699479,0.2062289562289562,8.501976754930284
5,5,0.990165114402771,0.9333333333333332,0.8800000000000001,0.19757002801120446,0.230555631424481,0.6445575416088104,0.2575630071788174,0.8341850436597456,0.31666666666666665,6.262284517288208
6,1,0.719626784324646,0.6956521739130435,0.7407407407407408,0.36942675159235666,0.36036036036036034,0.7003804445266724,0.506126203784695,0.6233766233766234,0.15789473684210525,9.557975769042969
7,4,0.8821448683738708,0.7583333333333333,0.5807692307692307,0.22321428571428573,0.16286764705882353,0.4350022003054619,0.6115877628326416,0.16666666666666666,0.25,5.403958976268768
8,7,0.7246264772755759,0.6060985797827902,0.5705627705627706,0.1363248285087085,0.16682828047791193,0.46167766622134615,0.26902755701401765,0.8136075686313173,0.015873015873015872,6.77924496786935
9,7,0.8347172226224627,0.7639274657231313,0.7501708817498292,0.4066660780341409,0.3649806085920281,0.7089149015290397,0.573826371381218,0.49074881026100536,0.38095238095238093,7.086564540863037
10,6,0.9327853918075562,0.7063492063492064,0.8373015873015873,0.25589931573802543,0.1732192248213804,0.6365591138601303,0.25229389658584683,0.7899053945249598,0.2222222222222222,6.878824631373088
11,5,0.7621365785598755,0.7224242424242424,0.7365079365079366,0.27688888888888885,0.22762237762237764,0.4716692313551903,0.4706853315135935,0.4467032967032967,0.4666666666666666,6.545336437225342
12,10,0.6334832165390253,0.588328664799253,0.598989898989899,0.15567465835809108,0.11385483737634447,0.4123602816835046,0.3692413154706046,0.6595046620046621,0.12,5.982817029953003
13,1,0.6827290058135986,0.47619047619047616,0.761904761904762,0.1971830985915493,0.047058823529411764,0.7469496726989746,0.5987798690795898,0.5,0.21428571428571427,11.062541246414185
14,7,0.7837353348731995,0.636904761904762,0.6322510822510823,0.2440666476380762,0.22531031315812836,0.4961925617286137,0.39821131615983324,0.6613415858146537,0.12897497982243747,6.138879946299961
15,2,1.0,1.0,1.0,0.0930232558139535,0.07246376811594203,0.44509029388427734,0.2412454659097335,0.8823529411764706,0.0,8.233995079994202
