model,test_id,question,expected_answer,actual_answer,Entity-F1,Token-F1,Cosine Similarity,Semantic Similarity,Answer Relevance,Hallucination,Faithfulness,Completeness,Key Info,Exact Match,Latency (s)
baseline_multiqa_mistral_v01,1,"I have a computer science background, which master's courses can I apply for?","Based on your Computer Science background, here are Master programs:

  - Computer Science M.Sc.
  - Software Engineering for Industrial Applications M.Eng.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.",You can apply to both of them. The main difference between these two is that one is taught in English while the other is taught in German.,0.0,0.03508771929824561,0.21386460959911346,0.21386459469795227,0.25037992000579834,1.0,0.08554583787918091,0.0,0.0,0.0,1.4630985260009766
baseline_multiqa_mistral_v01,2,What programs are available for business students?,"Based on your Business background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Global Management M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Applied Psychology M.Sc.
  - Marketing Management M.Sc.
  - AI-Driven Supply Chain Management (M.Sc.)

Please verify specific admission requirements before applying.","For Business Administration B.A., you need to have a minimum of 70% in English, 80% in Math, and 65% in the two best subjects from the following list: Biology, Chemistry, Physics, Computer Science, Accounting, Economics, Commerce, Geography, History, French, Spanish, German, or Mandarin.",0.05263157894736842,0.06741573033707865,0.5115760564804077,0.5115760564804077,0.3777853548526764,0.9259259259259259,0.24907486703660753,0.23333333333333334,0.06896551724137931,0.0,6.531674385070801
baseline_multiqa_mistral_v01,3,"I studied engineering, what bachelor programs can I apply to?","Based on your Engineering background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.",You can apply to all bachelor programs that are listed in the context.,0.09090909090909091,0.07547169811320756,0.5523710250854492,0.552371084690094,0.6148131489753723,0.6666666666666666,0.42094843387603764,0.0,0.0,0.0,3.8170225620269775
baseline_multiqa_mistral_v01,4,"I studied engineering, what Masters programs I can apply?","Based on your Engineering background, here are Master programs:

  - Sustainable Textiles M.Eng.
  - Mechanical Engineering M.Eng.
  - Artificial Intelligence and Robotics M.Sc.
  - Sustainable Water Management and Engineering M.Eng.
  - Digitalization and Innovation M.B.A.
  - Supply Chain Management M.Sc.
  - Artificial Intelligence Aided Mobility Design M.A.
  - Textile Design M.A.
  - International Project Management M.Eng./M.A.
  - Software Engineering for Industrial Applications M.Eng.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - Composite Materials M.Eng.

Please verify specific admission requirements before applying.","Please note that the list of modules is not exhaustive, but it gives you a general idea of the content of the program. You can find more detailed information on each module in our website.",0.032786885245901634,0.05128205128205127,0.2981209456920624,0.29812097549438477,0.19083106517791748,0.9166666666666666,0.16924839019775392,0.0,0.034482758620689655,0.0,1.8232133388519287
baseline_multiqa_mistral_v01,5,Programs available for economics background?,"Based on your Economics background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","A) Economic Psychology B.Sc.: Yes
B) Economic and Organizational Sociology B.A.: Yes
C) Global Management M.A.: No
D) Business Administration B.A.: Yes
E) General Management M.B.A.: Yes",0.4230769230769231,0.2711864406779661,0.6444483995437622,0.6444483995437622,0.44475895166397095,0.35294117647058826,0.6460146539351519,0.6111111111111112,0.38095238095238093,0.0,2.8373639583587646
baseline_multiqa_mistral_v01,6,"I have a law background, what can I study?","Based on your Law background, here are programs:

Bachelor Programs:
  - Business Law LL.B.

Master's Programs:
  - Human Resource Management and Labour Law LL.M./M.A.

Please verify specific admission requirements before applying.",I couldn't find a specific answer in the retrieved context.,0.07692307692307693,0.05555555555555555,-0.04098649322986603,-0.04098648577928543,-0.08056625723838806,0.8,0.1036054056882858,0.0,0.0,0.0,0.14031672477722168
baseline_multiqa_mistral_v01,7,"I studied Management, what Masters programs I can apply?","Based on your Management background, here are Master programs:

  - International Project Management M.Eng./M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Marketing Management M.Sc.
  - Global Management M.A.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - General Management M.B.A.
  - Sustainable Water Management and Engineering M.Eng.
  - AI-Driven Supply Chain Management (M.Sc.)
  - Supply Chain Management M.Sc.

Please verify specific admission requirements before applying.","Program: Global Management M.A.
Module: Market Research
ECTS: N/A
Exam Type: N/A
Course Type: SU,Ü",0.10526315789473682,0.10344827586206898,0.5948174595832825,0.5948173999786377,0.4930832087993622,0.7692307692307693,0.3763884984529935,0.22580645161290322,0.08,0.0,3.5624730587005615
baseline_multiqa_mistral_v01,8,What programs can psychology students apply for?,"Based on your Psychology background, here are programs:

Bachelor Programs:
  - Economic Psychology B.Sc.

Master's Programs:
  - Applied Psychology M.Sc.

Please verify specific admission requirements before applying.",The following programs are eligible:,0.0909090909090909,0.07407407407407407,0.3939569294452667,0.3939569592475891,0.5552843809127808,0.75,0.3075827836990357,0.0,0.0,0.0,1.86637282371521
baseline_multiqa_mistral_v01,9,"I have a design background, what master programs are available?","Based on your Design background, here are Master programs:

  - Textile Design M.A.
  - Artificial Intelligence Aided Mobility Design M.A.

Please verify specific admission requirements before applying.",You can apply for the following programs:,0.0909090909090909,0.06666666666666667,0.5009936094284058,0.500993549823761,0.5125449895858765,0.75,0.3503974199295044,0.0,0.0,0.0,0.4839191436767578
baseline_multiqa_mistral_v01,10,Programs for textile technology students?,"Based on your Textile Technology background, here are programs:

Bachelor Programs:
  - Textile Design B.A.

Master's Programs:
  - Textile Design M.A.

Please verify specific admission requirements before applying.",Yes.,0.0,0.0,-0.1005706787109375,-0.1005706936120987,0.047173257917165756,1.0,-0.04022827744483948,0.0,0.0,0.0,0.23786282539367676
