conversation_number,turns,res_semantic_sim,res_token_f1,res_entity_f1,ans_entity_f1,ans_token_f1,ans_semantic_sim,ans_faithfulness,ans_hallucination,ans_completeness,avg_latency
1,12,0.8748026539882024,0.7085772017837235,0.7093587355197263,0.4792755729824079,0.43273741032172675,0.7527736723423004,0.5090863043050803,0.5739103334936668,0.5075757575757576,3.6226517955462136
2,9,0.6095656520790524,0.5513435356913617,0.4579272254710851,0.36173364114183776,0.34494623503633076,0.584468252129025,0.4465882508273624,0.6056939771400628,0.3845679012345679,4.89308746655782
3,10,0.8922602534294128,0.855748987854251,0.8140616246498599,0.3984207000406621,0.400360858174834,0.657548674941063,0.36730916122716434,0.6740866809415197,0.3236111111111111,4.104791069030762
4,9,0.8727381494310167,0.7099116569704805,0.7859988776655443,0.4392755000078044,0.4196142156437065,0.7749565442403158,0.49297088009157913,0.5959518606479318,0.6464646464646465,6.867424276140001
5,5,0.8111480951309205,0.6215292353823088,0.6509803921568628,0.24007404516978395,0.27937094453022404,0.6685124635696411,0.3820802586636326,0.7791548927263212,0.21166666666666667,5.3114114761352536
6,1,0.4885644316673279,0.5128205128205129,0.5925925925925926,0.5827814569536425,0.6026200873362445,0.9263916015625,0.742387626540493,0.38028169014084506,0.8421052631578947,11.78262996673584
7,4,0.9245720207691193,0.8081501831501832,0.6727941176470589,0.7359833030564737,0.7034798534798534,0.8400421887636185,0.7145436898344442,0.3078947368421053,0.5833333333333333,2.8678895235061646
8,7,0.9643269947596959,0.8184353741496598,0.8995727956254272,0.532806191800962,0.5243261481534705,0.7727926841803959,0.6093152893773695,0.4741125513402124,0.5634920634920635,4.480012008122036
9,7,0.7422820244516645,0.6050868860129864,0.551638837353123,0.26749859942738363,0.27254442723277206,0.6446040485586438,0.3183803198392034,0.7710175076778825,0.2789115646258503,7.649445704051426
10,6,0.9319097300370535,0.7248677248677248,0.8308913308913309,0.3856470537124592,0.25547785547785545,0.6628849307696024,0.3501836112588528,0.6675602175602177,0.4222222222222222,4.413119475046794
11,5,0.7621365785598755,0.7224242424242424,0.7365079365079366,0.22920581848926808,0.12552668871043932,0.5217856168746948,0.19661082086299111,0.836599653016091,0.36666666666666664,4.177909517288208
12,10,0.8887744545936584,0.7598811461343431,0.7960955874191169,0.4122145439907537,0.38488696501099934,0.8314911901950837,0.4718087693638625,0.6325881970128504,0.6783333333333333,4.832614493370056
13,1,0.6077742576599121,0.5517241379310346,0.6666666666666665,0.7213114754098361,0.5465116279069767,0.9299622178077698,0.778138733276954,0.3230769230769231,0.8571428571428571,12.00577163696289
14,7,0.8011718818119594,0.686037170849201,0.6603785103785104,0.39530871829839587,0.38340020005961123,0.5893358588218689,0.4011196569790335,0.6347517385317207,0.35899919289749793,4.569875853402274
15,2,1.0,1.0,1.0,0.6784313725490196,0.6216216216216217,0.7540421485900879,0.6644328350016946,0.33421052631578946,0.5,1.7965521812438965
