model,test_id,question,expected_answer,actual_answer,Entity-F1,Token-F1,Cosine Similarity,Semantic Similarity,Answer Relevance,Hallucination,Faithfulness,Completeness,Key Info,Exact Match,Latency (s)
baseline_minilm_qwen,1,"I have a computer science background, which master's courses can I apply for?","Based on your Computer Science background, here are Master programs:

  - Computer Science M.Sc.
  - Software Engineering for Industrial Applications M.Eng.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","Based on your computer science background, you can apply for the following master’s programs at Hof University:

- **Master of Science in Computer Science**
- **Master of Science in Applied Research in Computer Science** 
- **Master of Science in Artificial Intelligence and Robotics**

These programs do not require any additional eligibility criteria beyond having a relevant bachelor's degree in fields such as Computer Science, Media Informatics, Mobile Computing, Business Information Systems, Engineering, or Natural Sciences.",0.40540540540540543,0.30434782608695654,0.5964226722717285,0.5964227318763733,0.5770690441131592,0.6590909090909091,0.3988030925664035,0.0,0.5555555555555556,0.0,3.448270559310913
baseline_minilm_qwen,2,What programs are available for business students?,"Based on your Business background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Global Management M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Applied Psychology M.Sc.
  - Marketing Management M.Sc.
  - AI-Driven Supply Chain Management (M.Sc.)

Please verify specific admission requirements before applying.","The following programs are available for business students at Hof University:

1. **Business Administration B.A.**
2. **Business Law LL.B.**
3. **Digital Business Management M.Sc.** 
4. **Economic Psychology B.Sc.**
5. **Business Information Systems B.Sc.**

These programs cater to various aspects of business studies including administration, law, management, psychology, and information systems.",0.38554216867469876,0.1956521739130435,0.6492756009101868,0.649275541305542,0.6347463130950928,0.5294117647058824,0.5420631576986874,0.6333333333333333,0.3448275862068966,0.0,3.0623667240142822
baseline_minilm_qwen,3,"I studied engineering, what bachelor programs can I apply to?","Based on your Engineering background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.","Based on the information provided, if you studied engineering, you may be eligible to apply for the following bachelor's programs at Hof University:

- **Engineering Science (International) B.Eng.**
- **Environmental Engineering (B.Eng.)**

Both programs require academic qualifications such as general higher education entrance资格或大学入学资格，应用科学大学入学资格或其他专业资格。此外，你需要证明你的英语水平，可以通过以下方式之一：托福成绩至少为90分、雅思分数在6.5以上。另外还需要提供德语语言能力的官方测试成绩单，达到A1级别。

请注意，具体申请要求可能还会包括其他因素，请访问uni-assist和DAAD数据库进行详细查询，并查看Hof大学官方网站上的最新信息以获取准确的要求。",0.34375,0.175,0.45815104246139526,0.45815107226371765,0.4895278215408325,0.5769230769230769,0.43710658275164094,0.23809523809523808,0.2608695652173913,0.0,5.867353200912476
baseline_minilm_qwen,4,"I studied engineering, what Masters programs I can apply?","Based on your Engineering background, here are Master programs:

  - Sustainable Textiles M.Eng.
  - Mechanical Engineering M.Eng.
  - Artificial Intelligence and Robotics M.Sc.
  - Sustainable Water Management and Engineering M.Eng.
  - Digitalization and Innovation M.B.A.
  - Supply Chain Management M.Sc.
  - Artificial Intelligence Aided Mobility Design M.A.
  - Textile Design M.A.
  - International Project Management M.Eng./M.A.
  - Software Engineering for Industrial Applications M.Eng.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - Composite Materials M.Eng.

Please verify specific admission requirements before applying.","Based on the information provided, if you studied engineering, you may consider applying for the following Master's programs:

- **Mechanical Engineering M.Eng.**
- **International Project Management M.Eng./M.A.** 
- **Engineering Science (international) B.Eng.** (Note: This is typically an undergraduate program but could potentially be relevant depending on specific course offerings)
- **Software Engineering for Industrial Applications M.Eng.**

For each program, ensure you meet the academic and language requirements specified.

If you're unsure about meeting these requirements, especially regarding your general higher education entrance qualification, it would be wise to consult resources like Uni-Assist and the DAAD database mentioned in the admission requirements section. Additionally, since there are no specific modules related to German at the B1 or A2 levels listed under any other master’s program besides those explicitly stated, focus on the ones directly aligned with your background in engineering.",0.3442622950819672,0.1987577639751553,0.7056273221969604,0.7056273221969604,0.6794768571853638,0.7123287671232876,0.4093683017443304,0.5,0.3793103448275862,0.0,6.9033122062683105
baseline_minilm_qwen,5,Programs available for economics background?,"Based on your Economics background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.",I don't have that information. The given context does not specify which programs would be suitable or preferred for students with an economics background. It lists details about various programs but does not provide criteria related to suitability based on prior knowledge or discipline (such as economics).,0.17241379310344826,0.07407407407407408,0.5695849657058716,0.5695849657058716,0.7576595544815063,0.782608695652174,0.35826876889104425,0.0,0.0,0.0,2.050971269607544
baseline_minilm_qwen,6,"I have a law background, what can I study?","Based on your Law background, here are programs:

Bachelor Programs:
  - Business Law LL.B.

Master's Programs:
  - Human Resource Management and Labour Law LL.M./M.A.

Please verify specific admission requirements before applying.","Given your law background, you might consider studying either the **Business Law LL.B.** or the **Human Resource Management and Labour Law LL.M./M.A.** at Hof University.

- The **Business Law LL.B.** program is a bachelor's degree focusing on business-related legal issues and would be suitable if you want to pursue further studies directly after completing this program.
  
- The **Human Resource Management and Labour Law LL.M./M.A.** combines human resource management with labour law, which could leverage your existing knowledge of law while also expanding into HR practices.

If these options do not meet your needs, please let me know if there’s additional information required about other programs offered by Hof University.",0.38235294117647056,0.20370370370370375,0.7414159178733826,0.7414158582687378,0.5825518369674683,0.723404255319149,0.23126189505800288,0.8571428571428571,0.5454545454545454,0.0,5.333174467086792
baseline_minilm_qwen,7,"I studied Management, what Masters programs I can apply?","Based on your Management background, here are Master programs:

  - International Project Management M.Eng./M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Marketing Management M.Sc.
  - Global Management M.A.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - General Management M.B.A.
  - Sustainable Water Management and Engineering M.Eng.
  - AI-Driven Supply Chain Management (M.Sc.)
  - Supply Chain Management M.Sc.

Please verify specific admission requirements before applying.","Based on your background in Management, you may qualify for several Master’s programs offered by Hof University depending on additional criteria such as grades and specific requirements. Here are some options available without detailed admission requirements given:

1. **Digital Business Management (M.Sc.)**
   - Requires a bachelor's or diploma degree with at least 210 credits from a German university or its equivalent from abroad.

2. **Marketing Management M.Sc.**
   - Specific details about this program were not provided; check the official website for more precise requirements.

3. **General Management M.B.A.**
   - This requires proof of German language proficiency at level B1 but does not specify other academic prerequisites beyond having completed a relevant undergraduate degree.

4. **International Project Management M.Eng./M.A.**
   - Details regarding this program weren’t fully specified either, so review the official documentation for exact entry conditions.

To determine eligibility precisely, please visit the [Hof University website](https://www.h",0.31818181818181823,0.17177914110429446,0.7049229741096497,0.7049229145050049,0.5708519816398621,0.7613636363636364,0.38263588558543815,0.7741935483870968,0.44,0.0,7.245872974395752
baseline_minilm_qwen,8,What programs can psychology students apply for?,"Based on your Psychology background, here are programs:

Bachelor Programs:
  - Economic Psychology B.Sc.

Master's Programs:
  - Applied Psychology M.Sc.

Please verify specific admission requirements before applying.","Based on the given context, psychology students can apply for both the following master’s program and bachelor’s program:

1. **Applied Psychology M.Sc.:** This is a master-level program where eligible backgrounds include Psychology or related fields like Business Psychology.

2. **Economic Psychology B.Sc.:** Although this is also within the same department and requires background in psychology, it is specifically mentioned as a bachelor’s level program.

Therefore, psychology students can apply for either the Applied Psychology M.Sc. or the Economic Psychology B.Sc., depending on their academic qualifications and career goals.",0.3448275862068966,0.13953488372093023,0.8652007579803467,0.8652006387710571,0.6375415921211243,0.75,0.24804012775421141,0.8,0.5555555555555556,0.0,4.102933406829834
baseline_minilm_qwen,9,"I have a design background, what master programs are available?","Based on your Design background, here are Master programs:

  - Textile Design M.A.
  - Artificial Intelligence Aided Mobility Design M.A.

Please verify specific admission requirements before applying.","Based on the information provided, if you have a design background, you may be eligible for the Textile Design M.A. program offered by Hof University. The other mentioned programs, such as Digitalization and Innovation M.B.A., do not specifically require a design background.",0.3157894736842105,0.20338983050847456,0.670168399810791,0.6701684594154358,0.5137192010879517,0.7,0.40326064538955697,0.4,0.3333333333333333,0.0,2.090618371963501
baseline_minilm_qwen,10,Programs for textile technology students?,"Based on your Textile Technology background, here are programs:

Bachelor Programs:
  - Textile Design B.A.

Master's Programs:
  - Textile Design M.A.

Please verify specific admission requirements before applying.","I don't have that information. The given context does not specify any programs directly related to textile technology. However, it provides details about three master's level programs at Hof University:

1. **Textile Design M.A.:** This program is in the Engineering department with an emphasis on design-related backgrounds.

2. **Sustainable Textiles M.Eng.:** Also located in the Engineering department but requires engineering or natural sciences background.

These programs could be relevant for students interested in textiles from different perspectives (design vs. technical/engineering). For more specific guidance tailored towards textile technology, additional information would be needed.",0.2285714285714286,0.0980392156862745,0.7628329992294312,0.7628330588340759,0.7430606484413147,0.8490566037735849,0.1978496306347397,0.8,0.25,0.0,4.433035373687744
