model,test_id,question,expected_answer,actual_answer,Entity-F1,Token-F1,Cosine Similarity,Semantic Similarity,Answer Relevance,Hallucination,Faithfulness,Completeness,Key Info,Exact Match,Latency (s)
filter_minilm_mistral_v01,1,"I have a computer science background, which master's courses can I apply for?","Based on your Computer Science background, here are Master programs:

  - Computer Science M.Sc.
  - Software Engineering for Industrial Applications M.Eng.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","Based on your Computer Science background, here are Master programs:

  - Computer Science M.Sc.
  - Software Engineering for Industrial Applications M.Eng.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.",1.0,1.0,1.0000001192092896,1.0,0.6856092214584351,0.0,1.0,1.0,1.0,1.0,0.00033283233642578125
filter_minilm_mistral_v01,2,What programs are available for business students?,"Based on your Business background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Global Management M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Applied Psychology M.Sc.
  - Marketing Management M.Sc.
  - AI-Driven Supply Chain Management (M.Sc.)

Please verify specific admission requirements before applying.","Based on your Business background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Global Management M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Applied Psychology M.Sc.
  - Marketing Management M.Sc.
  - AI-Driven Supply Chain Management (M.Sc.)

Please verify specific admission requirements before applying.",1.0,1.0,1.0000001192092896,1.0,0.5513581037521362,0.0,1.0,1.0,1.0,1.0,0.0002028942108154297
filter_minilm_mistral_v01,3,"I studied engineering, what bachelor programs can I apply to?","Based on your Engineering background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.","Based on your Engineering background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.",1.0,1.0,1.0,1.0,0.6436410546302795,0.0,1.0,1.0,1.0,1.0,0.00012111663818359375
filter_minilm_mistral_v01,4,"I studied engineering, what Masters programs I can apply?","Based on your Engineering background, here are Master programs:

  - Sustainable Textiles M.Eng.
  - Mechanical Engineering M.Eng.
  - Artificial Intelligence and Robotics M.Sc.
  - Sustainable Water Management and Engineering M.Eng.
  - Digitalization and Innovation M.B.A.
  - Supply Chain Management M.Sc.
  - Artificial Intelligence Aided Mobility Design M.A.
  - Textile Design M.A.
  - International Project Management M.Eng./M.A.
  - Software Engineering for Industrial Applications M.Eng.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - Composite Materials M.Eng.

Please verify specific admission requirements before applying.","Based on your Engineering background, here are Master programs:

  - Sustainable Textiles M.Eng.
  - Mechanical Engineering M.Eng.
  - Artificial Intelligence and Robotics M.Sc.
  - Sustainable Water Management and Engineering M.Eng.
  - Digitalization and Innovation M.B.A.
  - Supply Chain Management M.Sc.
  - Artificial Intelligence Aided Mobility Design M.A.
  - Textile Design M.A.
  - International Project Management M.Eng./M.A.
  - Software Engineering for Industrial Applications M.Eng.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - Composite Materials M.Eng.

Please verify specific admission requirements before applying.",1.0,1.0,0.9999998807907104,1.0000001192092896,0.6681772470474243,0.0,1.0000000476837159,1.0,1.0,1.0,0.00016045570373535156
filter_minilm_mistral_v01,5,Programs available for economics background?,"Based on your Economics background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","Based on your Economics background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.",1.0,1.0,1.0000001192092896,1.0000001192092896,0.530994713306427,0.0,1.0000000476837159,1.0,1.0,1.0,0.0002200603485107422
filter_minilm_mistral_v01,6,"I have a law background, what can I study?","Based on your Law background, here are programs:

Bachelor Programs:
  - Business Law LL.B.

Master's Programs:
  - Human Resource Management and Labour Law LL.M./M.A.

Please verify specific admission requirements before applying.","Based on your Law background, here are programs:

Bachelor Programs:
  - Business Law LL.B.

Master's Programs:
  - Human Resource Management and Labour Law LL.M./M.A.

Please verify specific admission requirements before applying.",1.0,1.0,1.0000001192092896,1.0,0.5603162050247192,0.0,1.0,1.0,1.0,1.0,0.0001785755157470703
filter_minilm_mistral_v01,7,"I studied Management, what Masters programs I can apply?","Based on your Management background, here are Master programs:

  - International Project Management M.Eng./M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Marketing Management M.Sc.
  - Global Management M.A.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - General Management M.B.A.
  - Sustainable Water Management and Engineering M.Eng.
  - AI-Driven Supply Chain Management (M.Sc.)
  - Supply Chain Management M.Sc.

Please verify specific admission requirements before applying.","Based on your Management background, here are Master programs:

  - International Project Management M.Eng./M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Marketing Management M.Sc.
  - Global Management M.A.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - General Management M.B.A.
  - Sustainable Water Management and Engineering M.Eng.
  - AI-Driven Supply Chain Management (M.Sc.)
  - Supply Chain Management M.Sc.

Please verify specific admission requirements before applying.",1.0,1.0,1.0000001192092896,1.0,0.7065588235855103,0.0,1.0,1.0,1.0,1.0,0.00014972686767578125
filter_minilm_mistral_v01,8,What programs can psychology students apply for?,"Based on your Psychology background, here are programs:

Bachelor Programs:
  - Economic Psychology B.Sc.

Master's Programs:
  - Applied Psychology M.Sc.

Please verify specific admission requirements before applying.","Based on your Psychology background, here are programs:

Bachelor Programs:
  - Economic Psychology B.Sc.

Master's Programs:
  - Applied Psychology M.Sc.

Please verify specific admission requirements before applying.",1.0,1.0,0.9999999403953552,1.0000001192092896,0.6552104353904724,0.0,1.0000000476837159,1.0,1.0,1.0,0.0002288818359375
filter_minilm_mistral_v01,9,"I have a design background, what master programs are available?","Based on your Design background, here are Master programs:

  - Textile Design M.A.
  - Artificial Intelligence Aided Mobility Design M.A.

Please verify specific admission requirements before applying.","Based on your Design background, here are Master programs:

  - Textile Design M.A.
  - Artificial Intelligence Aided Mobility Design M.A.

Please verify specific admission requirements before applying.",1.0,1.0,1.0,1.0,0.6260150671005249,0.0,1.0,1.0,1.0,1.0,0.00015616416931152344
filter_minilm_mistral_v01,10,Programs for textile technology students?,"Based on your Textile Technology background, here are programs:

Bachelor Programs:
  - Textile Design B.A.

Master's Programs:
  - Textile Design M.A.

Please verify specific admission requirements before applying.","Based on your Textile Technology background, here are programs:

Bachelor Programs:
  - Textile Design B.A.

Master's Programs:
  - Textile Design M.A.

Please verify specific admission requirements before applying.",1.0,1.0,1.0,1.0,0.6962529420852661,0.0,1.0,1.0,1.0,1.0,0.0001227855682373047
filter_minilm_mistral_v01,11,"I studied IT, which programs can I apply for?","Based on your It background, here are programs:

Bachelor Programs:
  - Mobile App Development B.Sc.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Computer Science (International) B.Sc.
  - Engineering Science (international) B.Eng.

Master's Programs:
  - Computer Science M.Sc.
  - Digital Business Management (M.Sc.)
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","Based on your It background, here are programs:

Bachelor Programs:
  - Mobile App Development B.Sc.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Computer Science (International) B.Sc.
  - Engineering Science (international) B.Eng.

Master's Programs:
  - Computer Science M.Sc.
  - Digital Business Management (M.Sc.)
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.",1.0,1.0,1.0,1.0,0.584868311882019,0.0,1.0,1.0,1.0,1.0,0.00022530555725097656
filter_minilm_mistral_v01,12,"I studied informatics, what master programs can I apply to?","Based on your Informatics background, here are Master programs:

  - Computer Science M.Sc.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","Based on your Informatics background, here are Master programs:

  - Computer Science M.Sc.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.",1.0,1.0,1.0,1.0,0.775242030620575,0.0,1.0,1.0,1.0,1.0,0.0001995563507080078
filter_minilm_mistral_v01,13,"I have a Science background, what bachelor programs can I apply to?","Based on your Science background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.","Based on your Science background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.",1.0,1.0,0.9999997615814209,1.0,0.5343353748321533,0.0,1.0,1.0,1.0,1.0,0.0001404285430908203
filter_minilm_mistral_v01,14,"I have a Business background,  what bachelor programs can I apply to?","Based on your Business background, here are Bachelor programs:

  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Please verify specific admission requirements before applying.","Based on your Business background, here are Bachelor programs:

  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Please verify specific admission requirements before applying.",1.0,1.0,1.0000001192092896,1.0000001192092896,0.6845150589942932,0.0,1.0000000476837159,1.0,1.0,1.0,0.0001304149627685547
filter_minilm_mistral_v01,15,"I completed my high school from Arts, what bachelor programs can I apply to?","Based on your Arts background, here are Bachelor programs:

  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Economic Psychology B.Sc.

Please verify specific admission requirements before applying.","Based on your Arts background, here are Bachelor programs:

  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Economic Psychology B.Sc.

Please verify specific admission requirements before applying.",1.0,1.0,1.0,1.0,0.5786152482032776,0.0,1.0,1.0,1.0,1.0,0.0001468658447265625
filter_minilm_mistral_v01,16,What engineering bachelor programs does Hof University offer?,"Here are the programs in Engineering (Bachelor level):

  - Design and Mobility B.A.
  - Engineering Science (international) B.Eng.
  - Environmental Engineering (B.Eng.)
  - Innovative Textiles B.Eng.
  - Textile Design B.A.","Here are the programs in Engineering (Bachelor level):

  - Design and Mobility B.A.
  - Engineering Science (international) B.Eng.
  - Environmental Engineering (B.Eng.)
  - Innovative Textiles B.Eng.
  - Textile Design B.A.",1.0,1.0,1.0,1.0000001192092896,0.565388560295105,0.0,1.0000000476837159,1.0,1.0,1.0,7.176399230957031e-05
filter_minilm_mistral_v01,17,Computer science bachelor programs?,"Here are the programs in Computer Science (Bachelor level):

  - Business Information Systems B.Sc.
  - Computer Science (B.Sc.)
  - Computer Science (International) B.Sc.
  - Media Informatics B.Sc.
  - Mobile App Development B.Sc.","Here are the programs in Computer Science (Bachelor level):

  - Business Information Systems B.Sc.
  - Computer Science (B.Sc.)
  - Computer Science (International) B.Sc.
  - Media Informatics B.Sc.
  - Mobile App Development B.Sc.",1.0,1.0,1.0,1.0,0.7251610159873962,0.0,1.0,1.0,1.0,1.0,4.9114227294921875e-05
