conversation_number,question,expected_resolved_question,expected_answer
1,What master programs are available for computer science background?,,"1. Applied Research in Computer Science M.Sc.
2. Artificial Intelligence and Robotics M.Sc.
3. Computer Science M.Sc."
1,what are the addmission requirements for the 1st program,What are the admission requirements for the Applied Research in Computer Science M.Sc.?,"Academic requirements: Bachelor’s degree or similar in computer science, media informatics, mobile computing or business information systems or a comparable study program from an accredited university, at least 210 ECTS (European Credit Transfer System) or equivalent (depending on home country); minimum grade 2,5 according to the German grading system (75%). Accredited universities are those that are listed in Anabin with status H+. Graduates from mechanical engineering, civil engineering, electronics & communications engineering or math / physics are not eligible. Above-average grades in object-oriented programming, software engineering, computer networks, and databases. Applicants with less than 210 credits (ECTS (European Credit Transfer System)) can be accepted but must gain the missing credits through an internship (at least 23 weeks) or attending appropriate modules at Hof University. For both alternatives, please calculate an additional (fourth) semester. See also the information about the application process for further requirements.

Language requirements:
- Prove your proficiency in English: TOEFL minimum 90 or IELTS 6.5 or above.
- Proof of basic language skills in German, demonstrated by official test score documents – minimum level A1."
1,What's the application deadline for it?,What is the application deadline for the Applied Research in Computer Science M.Sc.?,"The application deadlines for the Applied Research in Computer Science M. Sc. are as follows:
- Winter-semester: April 15 - May 31
- Summer-semester: November 5 - November 30"
1,is there any tuition fee for this program?,What is the tuition fee for the Applied Research in Computer Science M.Sc.?,There are no tuition fees for the Applied Research in Computer Science M. Sc.
1,Do I need health insurance to admit this program?,Is health insurance mandatory?,"Yes, health insurance is mandatory. For enrollment at Hof University, you are legally required to have a valid health insurance."
1,what are the addmission requirements for the 2nd program,What are the admission requirements for the Artificial Intelligence and Robotics M.Sc.?,"Academic requirements include a bachelor's degree in computer science or another engineering or natural science field providing adequate IT basics. The degree should have 210 credits and a minimum final grade of 2.5; otherwise, an additional module is offered. International applicants must submit their documents to Uni-Assist e. V. in advance and send them to uni-assist e. V. at least four weeks before the application deadline. Additionally, proof of English language proficiency through tests like TOEFL (minimum score 90) or IELTS (score of 6.5 or higher). Knowledge of German at least at level A1, demonstrated by official test scores, is also required."
1,What's the application deadline for it?,What is the application deadline for the Artificial Intelligence and Robotics M.Sc.?,The application period for the Artificial Intelligence and Robotics M. Sc. is from November 5 to November 30.
1,tuition fee for this program?,What is the tuition fee for the Artificial Intelligence and Robotics M.Sc.?,Artificial Intelligence and Robotics M. Sc. has no tuition fees.
1,What is the teaching language for this program?,What is the teaching language for the Artificial Intelligence and Robotics M.Sc.?,The teaching language for the Artificial Intelligence and Robotics M. Sc. is English.
1,What is the teaching language for Applied Research in Computer Science M.Sc?,What is the teaching language for the Applied Research in Computer Science M.Sc.?,The teaching language for the Applied Research in Computer Science M. Sc. is English.
1,Is there any schoolarship available for master students?,Are there any scholarships available for master students?,"Yes, Hof University offers scholarships for senior students, which includes master's degree students. These scholarships are funded by the Bavarian Ministry of Science, Research and the Arts, the DAAD (STIBET III), and exclusively for Graduate School students, the Hof University Graduate School. However, it is important to note that these scholarships are only available after you are officially enrolled at Hof University. Applications for these scholarships typically have specific deadlines; for summer semester applications, they are due approximately by the end of April, and for winter semester applications, by the end of October. For detailed application procedures and further information, contact the admissions office."
