model,conversation_number,turn_number,question,expected_resolved,actual_resolved,expected_answer,actual_answer,res_Semantic Similarity,res_Token-F1,res_Entity-F1,res_Token Overlap,ans_Entity-F1,ans_Token-F1,ans_Cosine Similarity,ans_Semantic Similarity,ans_Answer Relevance,ans_Hallucination,ans_Faithfulness,ans_Completeness,ans_Key Info,ans_Exact Match,Latency (s)
reranking_minilm_mistral_v02,1,1,What master programs are available for computer science background?,What master programs are available for computer science background?,What master programs are available for computer science background?,"1. Applied Research in Computer Science M.Sc.
2. Artificial Intelligence and Robotics M.Sc.
3. Computer Science M.Sc.","Here are the master's degree programs we offer in the field of computer science:

1. Artificial Intelligence and Robotics M.Sc.
2. Applied Research in Computer Science M.Sc.
3. Computer Science M.Sc.",1.0,1.0,1.0,1.0,0.8235294117647058,0.7027027027027027,0.7828854322433472,0.7828854322433472,0.6784089207649231,0.3,0.659838755607605,1.0,1.0,0.0,1.9447240829467773
reranking_minilm_mistral_v02,1,2,what are the addmission requirements for the 1st program,What are the admission requirements for the Applied Research in Computer Science M.Sc.?,What are the admission requirements for the Artificial Intelligence and Robotics M.Sc. program?,"Academic requirements: Bachelor’s degree or similar in computer science, media informatics, mobile computing or business information systems or a comparable study program from an accredited university, at least 210 ECTS (European Credit Transfer System) or equivalent (depending on home country); minimum grade 2,5 according to the German grading system (75%). Accredited universities are those that are listed in Anabin with status H+. Graduates from mechanical engineering, civil engineering, electronics & communications engineering or math / physics are not eligible. Above-average grades in object-oriented programming, software engineering, computer networks, and databases. Applicants with less than 210 credits (ECTS (European Credit Transfer System)) can be accepted but must gain the missing credits through an internship (at least 23 weeks) or attending appropriate modules at Hof University. For both alternatives, please calculate an additional (fourth) semester. See also the information about the application process for further requirements.

Language requirements:
- Prove your proficiency in English: TOEFL minimum 90 or IELTS 6.5 or above.
- Proof of basic language skills in German, demonstrated by official test score documents – minimum level A1.","The admission requirements for the Artificial Intelligence and Robotics M. Sc. program include having a Bachelor's degree in computer science or a related field, such as engineering or natural sciences, which provides a solid foundation in information technology. Alternatively, applicants may hold a Bachelor's degree with 210 credits and a final grade of at least 2.5 (if less than 210 credits, an additional module will be offered). Students who earned their degrees outside Germany should have their documents verified by Uni-Assist e. V., ideally submitting them well ahead of the application deadlines at Hof University. Proof of English language proficiency is also required through tests like TOEFL (minimum 90) or IELTS (minimum 6.5), while a minimum level A1 in German is needed for basic communication skills within the university community.",0.7849260568618774,0.5,0.4210526315789474,0.3333333333333333,0.378698224852071,0.3319838056680162,0.7694565653800964,0.7694566249847412,0.5670949220657349,0.5555555555555556,0.5744493166605631,0.1,0.525,0.0,6.568429231643677
reranking_minilm_mistral_v02,1,3,What's the application deadline for it?,What is the application deadline for the Applied Research in Computer Science M.Sc.?,What is the application deadline for the Artificial Intelligence and Robotics M.Sc. program?,"The application deadlines for the Applied Research in Computer Science M. Sc. are as follows:
- Winter-semester: April 15 - May 31
- Summer-semester: November 5 - November 30",The application deadline for the Artificial Intelligence and Robotics M. Sc. program at Hof University is from November 5 to November 30.,0.8255448341369629,0.5,0.4210526315789474,0.3333333333333333,0.3333333333333333,0.31818181818181823,0.7198771238327026,0.7198771238327026,0.6893818378448486,0.6,0.5279508495330811,0.3333333333333333,0.38636363636363635,0.0,2.760371208190918
reranking_minilm_mistral_v02,1,4,is there any tuition fee for this program?,What is the tuition fee for the Applied Research in Computer Science M.Sc.?,What is the tuition fee for the Artificial Intelligence and Robotics M.Sc. program?,There are no tuition fees for the Applied Research in Computer Science M. Sc.,The Artificial Intelligence and Robotics M. Sc. program at Hof University does not have tuition fees.,0.8299120664596558,0.5,0.35294117647058826,0.3333333333333333,0.19999999999999998,0.26666666666666666,0.6691975593566895,0.6691975593566895,0.5426535606384277,0.8181818181818182,0.37676993283358484,0.5,0.16666666666666666,0.0,1.9122459888458252
reranking_minilm_mistral_v02,1,5,Do I need health insurance to admit this program?,Is health insurance mandatory?,Is health insurance mandatory for the Artificial Intelligence and Robotics M.Sc. program?,"Yes, health insurance is mandatory. For enrollment at Hof University, you are legally required to have a valid health insurance.",There is no explicit mention of whether health insurance is mandatory for the Artificial Intelligence and Robotics M. Sc. program in the given context. It would be best to check with Hof University's admissions office for accurate and up-to-date information on this matter.,0.6724504232406616,0.375,0.5714285714285715,0.23076923076923078,0.32432432432432434,0.20689655172413793,0.6145389080047607,0.6145389080047607,0.6203910708427429,0.76,0.272870894241333,0.0,0.5,0.0,3.459129571914673
reranking_minilm_mistral_v02,1,6,what are the addmission requirements for the 2nd program,What are the admission requirements for the Artificial Intelligence and Robotics M.Sc.?,What are the admission requirements for the Applied Research in Computer Science M.Sc. program?,"Academic requirements include a bachelor's degree in computer science or another engineering or natural science field providing adequate IT basics. The degree should have 210 credits and a minimum final grade of 2.5; otherwise, an additional module is offered. International applicants must submit their documents to Uni-Assist e. V. in advance and send them to uni-assist e. V. at least four weeks before the application deadline. Additionally, proof of English language proficiency through tests like TOEFL (minimum score 90) or IELTS (score of 6.5 or higher). Knowledge of German at least at level A1, demonstrated by official test scores, is also required.","The admission requirements for the Applied Research in Computer Science M. Sc. program include having a Bachelor’s degree or a comparable study program from an accredited university with at least 210 ECTS (European Credit Transfer System) or equivalent, achieving a minimum grade of 2.5 (75%) in the previous studies, and demonstrating above-average knowledge in object-oriented programming, software engineering, computer networks, and databases. Additionally, applicants must provide proof of English language proficiency through TOEFL (minimum 90), IELTS (minimum 6.5), or another acceptable method. It is important to note that graduates from certain fields, including mechanical engineering, civil engineering, electronics & communications engineering, or mathematics/physics, are not eligible for this program. Applicants with fewer than 210 ECTS (European Credit Transfer System) may still be considered if they complete missing credits through an internship or attending appropriate modules at Hof University, which would require an additional fourth semester.",0.7572906017303467,0.4999999999999999,0.4210526315789474,0.3333333333333333,0.3776223776223776,0.3589743589743589,0.6180135011672974,0.6180135011672974,0.5288015007972717,0.6931818181818182,0.43129630955782805,0.09090909090909091,0.5833333333333334,0.0,7.083887815475464
reranking_minilm_mistral_v02,1,7,What's the application deadline for it?,What is the application deadline for the Artificial Intelligence and Robotics M.Sc.?,What is the application deadline for the Artificial Intelligence and Robotics M.Sc. program?,The application period for the Artificial Intelligence and Robotics M. Sc. is from November 5 to November 30.,The application deadline for the Artificial Intelligence and Robotics M. Sc. program at Hof University is from November 5 to November 30.,0.990600049495697,0.8695652173913043,0.9411764705882353,0.7692307692307693,0.7692307692307692,0.8333333333333334,0.7575878500938416,0.7575878500938416,0.816254734992981,0.3333333333333333,0.7030351400375366,0.6666666666666666,1.0,0.0,2.770923137664795
reranking_minilm_mistral_v02,1,8,tuition fee for this program?,What is the tuition fee for the Artificial Intelligence and Robotics M.Sc.?,What is the tuition fee for the Artificial Intelligence and Robotics M.Sc. program?,Artificial Intelligence and Robotics M. Sc. has no tuition fees.,The Artificial Intelligence and Robotics M. Sc. program does not have tuition fees at Hof University.,0.9927464723587036,0.8695652173913043,0.9333333333333333,0.7692307692307693,0.5882352941176471,0.5384615384615384,0.837990403175354,0.837990403175354,0.6836974620819092,0.5454545454545454,0.5471310905976731,1.0,1.0,0.0,1.9422643184661865
reranking_minilm_mistral_v02,1,9,What is the teaching language for this program?,What is the teaching language for the Artificial Intelligence and Robotics M.Sc.?,What is the teaching language for the Artificial Intelligence and Robotics M.Sc. program?,The teaching language for the Artificial Intelligence and Robotics M. Sc. is English.,The Artificial Intelligence and Robotics Master of Science (M. Sc.) program at Hof University is taught in English.,0.9895241856575012,0.8695652173913043,0.9411764705882353,0.7692307692307693,0.5,0.4666666666666666,0.769913911819458,0.7699138522148132,0.7239066362380981,0.6,0.5479655408859253,0.3333333333333333,1.0,0.0,2.783289670944214
reranking_minilm_mistral_v02,1,10,What is the teaching language for Applied Research in Computer Science M.Sc?,What is the teaching language for the Applied Research in Computer Science M.Sc.?,What are the teaching language requirements for the Applied Research in Computer Science M.Sc. program?,The teaching language for the Applied Research in Computer Science M. Sc. is English.,"The teaching language for the Applied Research in Computer Science M. Sc. program at Hof University is English. However, there are also language requirements in German. Prospective students must provide proof of German language skills through official test score documents with a minimum level of A1.",0.8869884610176086,0.7692307692307692,0.9090909090909091,0.625,0.5641025641025641,0.48148148148148145,0.7031210064888,0.7031210064888,0.654387354850769,0.6071428571428571,0.25848134415490287,0.6666666666666666,1.0,0.0,2.9358317852020264
