model,test_id,question,expected_answer,actual_answer,Entity-F1,Token-F1,Cosine Similarity,Semantic Similarity,Answer Relevance,Hallucination,Faithfulness,Completeness,Key Info,Exact Match,Latency (s)
baseline_minilm_phi2,1,"I have a computer science background, which master's courses can I apply for?","Based on your Computer Science background, here are Master programs:

  - Computer Science M.Sc.
  - Software Engineering for Industrial Applications M.Eng.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","You can apply for Computer Science M.Sc., Applied Research in Computer Science M.Sc., and Computer Science (International) B.Sc.
""""""
```",0.35,0.27999999999999997,0.7424533367156982,0.7424532771110535,0.6235575675964355,0.3,0.7169813108444214,0.3333333333333333,0.2777777777777778,0.0,1.3083171844482422
baseline_minilm_phi2,2,What programs are available for business students?,"Based on your Business background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Global Management M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Applied Psychology M.Sc.
  - Marketing Management M.Sc.
  - AI-Driven Supply Chain Management (M.Sc.)

Please verify specific admission requirements before applying.","Business Administration B.A., Business Law LL.B., Digital Business Management (M.Sc.), Economic Psychology B.Sc., Business Information Systems B.Sc.
""""""",0.46874999999999994,0.3125,0.7679091691970825,0.7679091095924377,0.4980074167251587,0.0,0.9071636438369751,0.6333333333333333,0.3448275862068966,0.0,4.982851505279541
baseline_minilm_phi2,3,"I studied engineering, what bachelor programs can I apply to?","Based on your Engineering background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.","```python
programs = [{'name': 'Mechanical Engineering M.Eng.',
'type': 'Bachelor', 'department': 'Engineering', 'language': 'English', 'duration': 7, 'campus': 'Hof','start': 'Winter semester', 'tuition_fees': None},
{'name': 'Environmental Engineering (B.Eng.)',
'type': 'Bachelor', 'department': 'Engineering', 'language': 'English', 'duration': 7, 'campus': 'Hof','start': 'Winter semester', 'tuition_fees': None}]",0.20689655172413793,0.030769230769230767,0.2584274709224701,0.2584275007247925,0.32301953434944153,0.7,0.283371000289917,0.14285714285714285,0.17391304347826086,0.0,5.059014081954956
baseline_minilm_phi2,4,"I studied engineering, what Masters programs I can apply?","Based on your Engineering background, here are Master programs:

  - Sustainable Textiles M.Eng.
  - Mechanical Engineering M.Eng.
  - Artificial Intelligence and Robotics M.Sc.
  - Sustainable Water Management and Engineering M.Eng.
  - Digitalization and Innovation M.B.A.
  - Supply Chain Management M.Sc.
  - Artificial Intelligence Aided Mobility Design M.A.
  - Textile Design M.A.
  - International Project Management M.Eng./M.A.
  - Software Engineering for Industrial Applications M.Eng.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - Composite Materials M.Eng.

Please verify specific admission requirements before applying.","You can apply any of these programs:
1. International Project Management M.Eng./M.A.
2. Engineering Science (international) B.Eng.
3. Mechanical Engineering M.Eng.
4. Software Engineering for Industrial Applications M.Eng.
5. International Finance Management M.Sc.
6. Economics & Business Administration M.B.A.
7. German B1
8. German A2
""""""
answer = """"
if ""mechanical"" in response:
answer += ""\n\tMechanical Engineering M.Eng.\n""
elif ""project"" in response:
answer",0.3488372093023256,0.27999999999999997,0.6549720764160156,0.6549720764160156,0.5584005117416382,0.5945945945945946,0.5052320738096494,0.6666666666666666,0.3448275862068966,0.0,4.931290149688721
baseline_minilm_phi2,5,Programs available for economics background?,"Based on your Economics background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","The programs available for students with an economics background are [program 1] (e.g., Program: Economic Psychology B.Sc.), [program 2], and [program 3].
""""""",0.28571428571428575,0.1694915254237288,0.6458514332771301,0.6458514928817749,0.8265465497970581,0.5,0.55834059715271,0.2777777777777778,0.14285714285714285,0.0,3.567162036895752
baseline_minilm_phi2,6,"I have a law background, what can I study?","Based on your Law background, here are programs:

Bachelor Programs:
  - Business Law LL.B.

Master's Programs:
  - Human Resource Management and Labour Law LL.M./M.A.

Please verify specific admission requirements before applying.","You could choose to specialize in areas such as business law or human resource management and labour law. If you want to study global management, you could focus on the legal framework that affects businesses across borders. Alternatively, if you are interested in economic psychology, you could pursue a degree in this field.
'''
# Define the text
text = '\n'.join([
'Program: Business Law LL.B.',
f'Type: {type}',
f'Department: {department}',
f'Language: {language}',
f'Duration: {duration} semesters',
f'Campus: {campus}',
f",0.24561403508771928,0.20224719101123595,0.5813673734664917,0.5813673734664917,0.552031397819519,0.8055555555555556,0.24444953123728433,0.14285714285714285,0.18181818181818182,0.0,5.042933225631714
baseline_minilm_phi2,7,"I studied Management, what Masters programs I can apply?","Based on your Management background, here are Master programs:

  - International Project Management M.Eng./M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Marketing Management M.Sc.
  - Global Management M.A.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - General Management M.B.A.
  - Sustainable Water Management and Engineering M.Eng.
  - AI-Driven Supply Chain Management (M.Sc.)
  - Supply Chain Management M.Sc.

Please verify specific admission requirements before applying.","There are numerous master’s programs for business administration available today, ranging from a bachelor’s degree to a doctoral degree. The Master’s Degree in Business Administration is a popular choice because it provides students with the necessary skills and knowledge to succeed in the field of management. However, not all business schools offer the same program. For example, there are different types of degrees offered by universities such as Full Time, Part Time, Online, Evening, Weekend, Self-Paced, Flexible Program, Specialized, and Specialized Diploma Programs. Additionally, some programs have specific requirements that must be met before you can apply, such as having a bachelor’s degree or being a certain age. It’s important",0.11538461538461538,0.0923076923076923,0.5303905606269836,0.5303905010223389,0.6035119891166687,0.9,0.27215620040893557,0.0,0.08,0.0,4.9775848388671875
baseline_minilm_phi2,8,What programs can psychology students apply for?,"Based on your Psychology background, here are programs:

Bachelor Programs:
  - Economic Psychology B.Sc.

Master's Programs:
  - Applied Psychology M.Sc.

Please verify specific admission requirements before applying.","```python
# Example 4
programs = {'Applied Psychology M.Sc.': {'type': 'Master', 'department': 'Business', 'language': 'German',
'duration': '3 semesters', 'campus': 'Hof','start': ('Winter and summer semester')},
'Economic Psychology B.Sc.': {'type': 'Bachelor', 'department': 'Business', 'language': 'German',
'duration': '7 semesters', 'campus': 'Hof','start': 'Winter semester'},
'Economic and Organizational Sociology B.A.': {'type': 'Bachelor",0.3829787234042554,0.03571428571428571,0.3446483314037323,0.3446483016014099,0.3958891034126282,0.6896551724137931,0.29165959547305925,0.4,0.6666666666666666,0.0,5.040922403335571
baseline_minilm_phi2,9,"I have a design background, what master programs are available?","Based on your Design background, here are Master programs:

  - Textile Design M.A.
  - Artificial Intelligence Aided Mobility Design M.A.

Please verify specific admission requirements before applying.","You can choose between the Master of Arts in Textile Design or the Master of Business Administration (MBA). Both programs are taught in English. For more information about these programs, please see the respective modules in the catalogues below.",0.3,0.18181818181818182,0.6797553896903992,0.679755449295044,0.5078396201133728,0.7272727272727273,0.43553854335438125,0.0,0.3333333333333333,0.0,5.063368558883667
baseline_minilm_phi2,10,Programs for textile technology students?,"Based on your Textile Technology background, here are programs:

Bachelor Programs:
  - Textile Design B.A.

Master's Programs:
  - Textile Design M.A.

Please verify specific admission requirements before applying.","Yes, there are programs available such as Textile Design B.A., Sustainable Textiles M.Eng. and Sustainable Textiles M.Eng. with different modules depending on your background and interests.",0.3125,0.22727272727272727,0.709626317024231,0.7096263766288757,0.705245852470398,0.6666666666666666,0.4838505506515503,0.6,0.25,0.0,1.3934681415557861
baseline_minilm_phi2,11,"I studied IT, which programs can I apply for?","Based on your It background, here are programs:

Bachelor Programs:
  - Mobile App Development B.Sc.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Computer Science (International) B.Sc.
  - Engineering Science (international) B.Eng.

Master's Programs:
  - Computer Science M.Sc.
  - Digital Business Management (M.Sc.)
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","You are eligible to apply for the ""Digitalization and Innovation"" program of the ""Computer Science M.Sc."" course.",0.21818181818181817,0.09523809523809525,0.6922232508659363,0.6922231912612915,0.5503860116004944,0.45454545454545453,0.6041620037772438,0.375,0.1724137931034483,0.0,4.977211236953735
